Pos,Team,BHR FR,BHR SR,CAT SR,CAT FR,MON FR,MON SR,BAK SR,BAK FR,RBR FR,RBR SR,SIL SR,SIL FR,HUN FR,HUN SR,SPA SR,SPA FR,MNZ FR,MNZ SR,JER SR,JER FR,YMC FR,YMC SR,Points
1,Russian Time,7,2,2,7,5,4,16,7,14,4,6,2,6,8,2,3,4,1,7,4,3,5,395
1,Russian Time,1,8,8,9,2,5,4,5,8,1,4,3,17,9,1,Ret,9,15,5,1,1,6,395
2,Prema Racing,3,1,1,4,Ret,18†,1,2,1,Ret,1,5,4,4,DSQ,5,17,9,1,7,2,1,380
2,Prema Racing,9,10,13,Ret,11,10,Ret,12,3,5,16,12,Ret,17,3,7,1,3,3,5,DSQ,11,380
3,DAMS,5,3,3,2,1,9,7,Ret,4,3,3,17,1,2,DSQ,8,Ret,11,2,3,DSQ,7,369
3,DAMS,11,4,6,3,Ret,13,3,3,2,8,8,1,2,6,Ret,9,3,16,4,2,5,3,369
4,ART Grand Prix,8,14,4,1,3,7,12,6,6,14,10,8,5,1,16,Ret,2,7,18,11,6,4,222
4,ART Grand Prix,6,7,5,8,4,6,10,4,5,2,18,10,8,7,12,18,13,8,12,9,7,2,222
5,Rapax,10,6,10,Ret,7,1,2,Ret,13,16†,DNS,7,3,3,14,12,7,4,17,12,10,Ret,137
5,Rapax,15,9,17,10,8,2,Ret,14,15,9,5,4,Ret,Ret,7,6,11,5,15,17,16,10,137
6,MP Motorsport,13,18,14,15,Ret,14,13,9,16,10,13,15,16,13,6,1,6,2,10,14,9,8,109
6,MP Motorsport,4,5,9,5,9,8,6,DSQ,9,6,7,Ret,15,11,Ret,14,10,20,6,Ret,8,Ret,109
7,Pertamina Arden,2,Ret,16,13,Ret,Ret,5,1,Ret,7,2,6,7,5,8,4,13,10,11,10,13,18†,108
7,Pertamina Arden,17,17,15,16,13,12,14,10,10,11,9,16,14,10,15,17,5,6,16,17,15,14,108
8,Racing Engineering,20,12,11,14,15,16,Ret,16,17,13,12,13,10,12,5,2,18,12,13,6,4,9,87
8,Racing Engineering,18,13,7,6,6,3,11,13,12,15,14,9,13,NC,4,11,8,18,14,18,11,17,87
9,Campos Racing,12,Ret,12,17,12,Ret,8,8,7,Ret,11,Ret,11,16,13,13,15,13,Ret,19†,Ret,13,17
9,Campos Racing,16,15,19†,12,Ret,15,15,11,11,17†,17,11,Ret,Ret,10,16,16,19,8,8,12,12,17
10,Trident,19,16,18,18,14,11,Ret,17,18,12,15,18,12,15,11,15,12,17,9,15,Ret,16,9
10,Trident,14,11,Ret,11,10,17,9,15,19,Ret,19,14,9,14,9,10,Ret,14,Ret,13,14,15,9
