Pos,Driver,BHR FR,BHR SR,BAK SR,BAK FR,CAT FR,CAT SR,MCO SR,MCO FR,LEC FR,LEC SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,MNZ SR,MNZ FR,SOC FR,SOC SR,YMC SR,YMC FR,Points
1,Nyck de Vries,6,7,2,4,5,1,1,7,1,10,3,3,6,3,2,6,C,C,3,3,1,2,13,13,266
2,Nicholas Latifi,1,3,4,1,1,6,12,10,5,6,9,6,2,5,1,7,C,C,13,10,2,4,7,2,214
3,Luca Ghiotto,2,1,9,Ret,4,2,DSQ,Ret,Ret,12,2,2,1,15,4,8,C,C,2,15,4,1,6,1,207
4,Sérgio Sette Câmara,3,2,Ret,6,NC,17,3,6,2,5,5,1,4,17,5,3,C,C,5,Ret,5,6,1,3,204
5,Jack Aitken,7,11,1,3,2,8,17†,13,3,4,10,18,5,1,3,5,C,C,8,1,7,11,11,10,159
6,Nobuharu Matsushita,9,12,13,12,11,Ret,2,9,9,9,1,5,9,7,7,2,C,C,1,5,6,Ret,2,7,144
7,Zhou Guanyu,10,4,Ret,10,3,4,5,3,4,3,6,8,3,8,9,9,C,C,Ret,4,10,5,3,8,140
8,Louis Delétraz,5,5,Ret,Ret,12,11,7,2,NC,7,7,Ret,7,2,Ret,13,C,C,Ret,8,3,14,4,6,92
9,Jordan King,17,8,3,Ret,7,7,,,6,11,8,7,10,9,6,4,C,C,6,2,12,9,12,9,79
10,Anthoine Hubert,4,9,10,11,6,5,8,1,8,1,4,17,18,11,11,11,C,C,,,,,,,77
11,Callum Ilott,14,16,Ret,9,8,3,DNS,14,Ret,8,14,9,8,4,10,10,C,C,4,12,9,3,5,4,74
12,Mick Schumacher,8,6,Ret,5,15,12,13,11,Ret,Ret,18,4,11,6,8,1,C,C,NC,6,Ret,Ret,9,11,53
13,Juan Manuel Correa,16,18,7,2,Ret,15,16†,12,7,2,11,10,12,10,14,14,C,C,,,,,,,36
14,Dorian Boccolacci,15,17,5,7,14,18,4,5,Ret,13,,,Ret,14,,,,,,,,,,,30
15,Giuliano Alesi,12,DSQ,Ret,Ret,Ret,16,11,Ret,10,14,13,Ret,17,Ret,13,12,C,C,7,7,13,8,8,5,20
16,Artem Markelov,,,,,,,6,4,,,,,,,,,,,,,Ret,10,Ret,Ret,16
17,Sean Gelael,Ret,10,6,8,9,9,Ret,15,Ret,17,16,12,WD,WD,15,17,C,C,9,Ret,11,7,17,Ret,15
18,Nikita Mazepin,19,13,8,Ret,17,14,10,8,Ret,16,12,11,16†,12,12,15,C,C,11,9,8,Ret,10,17†,11
19,Ralph Boschung,11,14,12,Ret,10,10,9,Ret,Ret,15,,,,,18†,18,C,C,,,14,12,,,3
20,Mahaveer Raghunathan,18,19,11,13,16,19,15,Ret,12,18,,,15,18,17,19,C,C,10,13,17,17,Ret,15,1
21,Marino Sato,,,,,,,,,,,,,,,,,C,C,12,11,16,15,18,16,0
22,Tatiana Calderón,13,15,Ret,Ret,13,13,14,Ret,11,19†,17,13,14,16,16,Ret,C,C,Ret,14,15,16,16,14,0
23,Christian Lundgaard,,,,,,,,,,,,,,,,,,,,,,,14,12,0
24,Arjun Maini,,,,,,,,,,,DSQ,15,13,13,Ret,16,,,,,,,,,0
25,Matevos Isaakyan,,,,,,,,,,,,,,,,,,,,,18,13,15,Ret,0
26,Pato O'Ward,,,,,,,,,,,19,14,,,,,,,,,,,,,0
27,Ryan Tveter,,,,,,,,,,,15,16,,,,,,,,,,,,,0
