Pos,Driver,RBR1 FR,RBR1 SR,RBR2 SR,RBR2 FR,HUN FR,HUN SR,SIL1 SR,SIL1 FR,SIL2 FR,SIL2 SR,CAT SR,CAT FR,SPA FR,SPA SR,MNZ SR,MNZ FR,MUG FR,MUG SR,SOC SR,SOC FR,BHR1 FR,BHR1 SR,BHR2 SR,BHR2 FR,Points
1,Mick Schumacher,11,7,4,Ret,3,3,9,14,7,2,6,3,3,2,1,3,5,4,1,3,4,7,6,18,215
2,Callum Ilott,1,9,5,5,8,2,5,Ret,1,6,5,8,10,Ret,6,1,12,6,3,7,2,16,5,10,201
3,Yuki Tsunoda,18,11,2,Ret,16,18,3,Ret,6,1,4,4,1,9,4,NC,16,19,2,6,6,15,1,2,200
4,Robert Shwartzman,3,4,1,Ret,1,4,14,13,8,13,2,13,5,1,9,5,Ret,9,11,10,8,1,4,5,177
5,Nikita Mazepin,14,10,14,8,2,5,1,5,4,8,13,6,2,4,NC,8,1,18,7,2,5,2,9,9,164
6,Zhou Guanyu,17,14,3,4,10,8,2,9,9,5,3,14,7,3,5,NC,Ret,5,8,1,14,5,2,4,151.5
7,Christian Lundgaard,4,5,6,1,Ret,13,4,2,2,21,11,11,17,7,3,2,6,1,Ret,13,19,6,21,12,149
8,Louis Delétraz,7,2,19,12,7,6,6,3,5,4,10,9,4,6,8,4,3,2,18,17,16,3,12,13,134
9,Felipe Drugovich,8,1,13,13,5,16,7,6,10,12,7,1,DSQ,13,16,Ret,4,15,Ret,20,1,8,3,8,121
10,Luca Ghiotto,DNS,Ret,11,10,4,1,17,19,13,10,8,2,9,5,2,15,2,Ret,4,5,12,Ret,16,7,106
11,Dan Ticktum,5,3,8,2,9,NC,8,1,15,7,9,10,6,10,7,DSQ,17,17,10,8,9,12,8,3,96.5
12,Jehan Daruvala,12,16,12,9,6,7,12,4,12,9,17,17,19,16,10,6,10,7,5,11,3,Ret,7,1,72
13,Marcus Armstrong,2,Ret,7,3,Ret,9,16,10,14,14,Ret,15,15,Ret,14,18,9,11,9,14,7,4,11,14,52
14,Jack Aitken,15,8,9,6,13,19,13,8,3,3,18,18,13,17,13,7,Ret,13,6,4,10,17,,,48
15,Nobuharu Matsushita,9,6,17,11,12,11,10,7,11,18,1,5,Ret,DNS,15,11,11,14,,,,,,,42
16,Jüri Vips,,,,,,,,,,,,,11,11,11,9,7,3,Ret,18,,,,,16
17,Giuliano Alesi,6,Ret,21,15,11,10,19,18,16,20,Ret,19,18,14,18,12,Ret,Ret,14,16,17,13,15,6,12
18,Artem Markelov,Ret,18,DNS,16,Ret,14,18,11,19,11,12,16,16,8,17,16,8,20,15,12,22,10,13,20,5
19,Roy Nissany,10,12,15,18,Ret,17,Ret,16,18,15,Ret,12,8,Ret,19,10,15,10,Ret,19,15,9,20,15,5
20,Pedro Piquet,13,13,18,14,14,15,11,17,21,16,14,7,12,12,12,17,13,12,17,9,11,19,10,11,3
21,Sean Gelael,Ret,Ret,10,7,17,12,15,Ret,Ret,DNS,19,DNS,,,,,,,,,13,14,19,17,3
22,Marino Sato,Ret,17,16,Ret,Ret,20,20,12,17,17,15,21,14,Ret,20,13,14,8,13,15,20,11,17,16,1
23,Jake Hughes,,,,,,,,,,,,,,,,,,,12,Ret,,,,,0
24,Guilherme Samaia,16,15,20,17,15,21,21,15,20,19,16,20,Ret,15,21,14,18,16,16,Ret,21,18,22,19,0
25,Ralph Boschung,,,,,,,,,,,,,,,,,,,,,,,14,Ret,0
26,Théo Pourchaire,,,,,,,,,,,,,,,,,,,,,18,Ret,18,21,0
