Pos,Team,RBR1 FR,RBR1 SR,RBR2 SR,RBR2 FR,HUN FR,HUN SR,SIL1 SR,SIL1 FR,SIL2 FR,SIL2 SR,CAT SR,CAT FR,SPA FR,SPA SR,MNZ SR,MNZ FR,MUG FR,MUG SR,SOC SR,SOC FR,BHR1 FR,BHR1 SR,BHR2 SR,BHR2 FR,Points
1,Prema Racing,3,4,1,Ret,1,3,9,13,7,2,2,3,3,1,1,3,5,4,1,3,4,1,4,5,392
1,Prema Racing,11,7,4,Ret,3,4,14,14,8,13,6,13,5,2,9,5,Ret,9,11,10,8,7,6,18,392
2,UNI-Virtuosi Racing,1,9,3,4,8,2,2,9,1,5,3,8,7,3,5,1,12,5,3,1,2,5,2,4,352.5
2,UNI-Virtuosi Racing,17,14,5,5,10,8,5,Ret,9,6,5,14,10,Ret,6,NC,Ret,6,8,7,14,16,5,10,352.5
3,Carlin,12,11,2,9,6,7,3,4,6,1,4,4,1,9,4,6,10,7,2,6,3,15,1,1,272
3,Carlin,18,16,12,Ret,16,18,12,Ret,12,9,17,17,19,16,10,NC,16,19,5,11,6,Ret,7,2,272
4,Hitech Grand Prix,14,10,11,8,2,1,1,5,4,8,8,2,2,4,2,8,1,18,4,2,5,2,9,7,270
4,Hitech Grand Prix,DNS,Ret,14,10,4,5,17,19,13,10,13,6,9,5,NC,15,2,Ret,7,5,12,Ret,16,9,270
5,ART Grand Prix,2,5,6,1,Ret,9,4,2,2,14,11,11,15,7,3,2,6,1,9,13,7,4,11,12,201
5,ART Grand Prix,4,Ret,7,3,Ret,13,16,10,14,21,Ret,15,17,Ret,14,18,9,11,Ret,14,19,6,21,14,201
6,MP Motorsport,8,1,13,11,5,11,7,6,10,12,1,1,Ret,13,15,11,4,14,14,16,1,8,3,6,167
6,MP Motorsport,9,6,17,13,12,16,10,7,11,18,7,5,DSQ,DNS,16,Ret,11,15,Ret,20,17,13,15,8,167
7,Charouz Racing System,7,2,18,12,7,6,6,3,5,4,10,7,4,6,8,4,3,2,17,9,11,3,10,11,137
7,Charouz Racing System,13,13,19,14,14,15,11,17,21,16,14,9,12,12,12,17,13,12,18,17,16,19,12,13,137
8,DAMS,5,3,8,2,9,12,8,1,15,7,9,10,6,10,7,9,7,3,10,8,9,12,8,3,115.5
8,DAMS,Ret,Ret,10,7,17,NC,15,Ret,Ret,DNS,19,DNS,11,11,11,DSQ,17,17,Ret,18,13,14,19,17,115.5
9,Campos Racing,15,8,9,6,13,19,13,8,3,3,16,18,13,15,13,7,18,13,6,4,10,17,14,19,48
9,Campos Racing,16,15,20,17,15,21,21,15,20,19,18,20,Ret,17,21,14,Ret,16,16,Ret,21,18,22,Ret,48
10,BWT HWA Racelab,6,18,21,15,11,10,18,11,16,11,12,16,16,8,17,12,8,20,12,12,18,10,13,20,13
10,BWT HWA Racelab,Ret,Ret,DNS,16,Ret,14,19,18,19,20,Ret,19,18,14,18,16,Ret,Ret,15,Ret,22,Ret,18,21,13
11,Trident,10,12,15,18,Ret,17,20,12,17,15,15,12,8,Ret,19,10,14,8,13,15,15,9,17,15,6
11,Trident,Ret,17,16,Ret,Ret,20,Ret,16,18,17,Ret,21,14,Ret,20,13,15,10,Ret,19,20,11,20,16,6
