Pos,Team,BHR SR1,BHR SR2,BHR FR,MON SR2,MON FR,MON SR1,BAK FR,BAK SR1,BAK SR2,SIL SR1,SIL SR2,SIL FR,MNZ SR2,MNZ FR,MNZ SR1,SOC FR,SOC SR1,SOC SR2,JDH SR1,JDH SR2,JDH FR,YMC SR2,YMC FR,YMC SR1,Points
1,Prema Powerteam,4,1,7,8,2,2,1,5,2,1,4,3,4,3,1,3,C,1,5,1,1,3,2,1,444.5
1,Prema Powerteam,5,Ret,19†,Ret,10,4,Ret,8,3,6,15,5,6,7,6,9,C,4,8,3,2,4,Ret,5,444.5
2,UNI-Virtuosi Racing,7,3,1,1,14,3,3,10,4,4,7,1,2,8,2,DNS,C,6,4,8,4,2,1,2,288
2,UNI-Virtuosi Racing,16,14,9,2,15,5,14,Ret,13,Ret,11,6,Ret,17,12,DNS,C,DNS,17,10,5,8,5,3,288
3,Carlin,2,4,2,6,1,Ret,2,3,7,8,3,2,9,1,3,1,C,3,7,4,10,1,4,6,272.5
3,Carlin,8,Ret,6,11,8,Ret,4,6,8,12,19,10,Ret,11,5,12,C,5,10,14,11,6,7,11,272.5
4,Hitech Grand Prix,1,16,3,5,3,7,8,1,1,2,5,7,5,4,Ret,2,C,7,2,Ret,6,5,6,8,223
4,Hitech Grand Prix,10,Ret,13,9,DSQ,8,Ret,7,6,7,6,11,8,6,Ret,Ret,C,Ret,3,Ret,9,12,Ret,Ret,223
5,ART Grand Prix,6,2,8,7,4,1,5,9,9,3,10,8,1,10,4,5,C,2,6,6,7,7,9,4,190
5,ART Grand Prix,Ret,6,12,Ret,Ret,12,11,Ret,Ret,5,13,21,3,14,10,7,C,9,Ret,15,Ret,15,18,15,190
6,MP Motorsport,9,5,4,13,6,10,12,Ret,10,10,1,4,15†,12,7,8,C,8,11,5,13,11,8,14,75
6,MP Motorsport,Ret,Ret,18,15,7,Ret,13,Ret,14,11,9,9,Ret,13,DSQ,10,C,16,14,Ret,19,17,14,Ret,75
7,Campos Racing,17,13,15,4,5,6,6,11,5,14,14,14,10,5,14,6,C,10,15,9,3,9,3,9,66.5
7,Campos Racing,Ret,17,Ret,Ret,Ret,16,15,Ret,DNS,15,Ret,18,14,9,16†,15,C,19†,18,12,16,20,15,18,66.5
8,DAMS,12,10,5,3,Ret,9,7,16,16,9,2,12,11,15,8,11,C,11,1,11,8,10,17,7,65
8,DAMS,Ret,15,Ret,10,Ret,Ret,16,Ret,Ret,Ret,12,16,Ret,18,9,16,C,15,13,Ret,15,14,Ret,13,65
9,Trident,13,8,14,14,11,11,10,4,15,16,16,13,7,2,15†,14,C,14,9,2,12,13,10,12,35
9,Trident,15,12,17,19†,Ret,14,18,13,17,NC,Ret,19,NC,20,Ret,Ret,C,Ret,Ret,13,18,19,16,17,35
10,Charouz Racing System,3,7,11,12,13,13,9,2,12,13,8,15,Ret,16,11,13,C,12,12,7,17,16,11,10,28
10,Charouz Racing System,11,11,16,17,Ret,15,17,14,18,Ret,17,20,Ret,Ret,Ret,17,C,13,Ret,Ret,Ret,Ret,12,16,28
11,HWA Racelab,14,9,10,16,9,17,Ret,12,11,17,18,17,12,19,13,4,C,17,16,Ret,14,18,13,19,9
11,HWA Racelab,18,Ret,Ret,18,12,18,Ret,15,19,Ret,Ret,22,13,Ret,Ret,18,C,18,Ret,Ret,20,Ret,Ret,Ret,9
