Pos,Driver,BHR SR,BHR FR,JDH FR,JDH SR,IMO SR,IMO FR,CAT FR,CAT SR,MON SR,MON FR,BAK FR,BAK SR,SIL SR,SIL FR,RBR FR,RBR SR,LEC SR,LEC FR,HUN FR,HUN SR,SPA SR,SPA FR,ZAN FR,ZAN SR,MNZ SR,MNZ FR,YMC FR,YMC SR,Points
1,Felipe Drugovich,5,6,3,1,5,10,1,1,Ret,1,5,3,5,4,4,11,3,4,4,9,4,2,10,1,Ret,6,3,2,265
2,Théo Pourchaire,Ret,1,13,Ret,7,1,5,8,6,2,7,11,4,2,2,13,7,2,9,1,6,Ret,20,9,17,Ret,9,19,164
3,Liam Lawson,3,2,1,Ret,8,Ret,9,9,8,Ret,3,15,20,3,Ret,10,1,6,6,7,1,3,4,12,5,13,1,3,149
4,Logan Sargeant,6,7,Ret,12,6,7,3,4,10,9,6,2,7,1,7,1,8,Ret,Ret,10,Ret,5,8,Ret,4,Ret,6,5,148
5,Ayumu Iwasa,8,16,6,7,9,5,2,12,19,17,8,14,2,12,10,7,6,1,8,3,9,7,6,3,16,DSQ,13,1,141
6,Jack Doohan,10,10,Ret,9,11,Ret,6,2,7,4,11,13,1,9,3,19,4,5,1,Ret,2,1,9,Ret,6,Ret,7,Ret,128
7,Jehan Daruvala,2,12,7,3,2,9,4,Ret,2,8,2,4,8,7,11,12,2,7,17,11,DNS,20,16,10,3,1,Ret,13,126
8,Enzo Fittipaldi,11,13,10,11,12,2,8,6,4,5,Ret,6,3,11,8,2,Ret,10,3,2,13,10,13,5,12,3,Ret,14,126
9,Frederik Vesti,13,Ret,12,18,10,6,7,3,11,14,1,7,6,5,12,14,5,3,5,4,15,11,11,15,2,2,11,11,117
10,Dennis Hauger,9,19,16,6,3,Ret,12,13,1,7,Ret,1,15,Ret,9,4,12,16,Ret,19,10,12,3,4,9,4,4,4,115
11,Jüri Vips,7,3,2,10,15,Ret,Ret,17,5,3,12,Ret,12,6,5,8,11,12,2,5,14,8,5,7,1,10,12,8,114
12,Richard Verschoor,1,Ret,5,2,13,14,11,18,13,12,20,5,10,14,6,DSQ,NC,17,18,8,5,4,7,2,8,9,2,7,103
13,Marcus Armstrong,Ret,5,Ret,5,1,16,10,7,3,6,4,12,9,8,1,Ret,14,Ret,7,6,7,13,1,14,10,12,10,9,93
14,Clément Novalak,18,Ret,11,14,19,4,14,5,Ret,Ret,14,Ret,13,13,15,17,17,8,20,12,17,9,2,Ret,Ret,8,14,12,40
15,Ralph Boschung,4,4,15,15,Ret,3,WD,WD,WD,WD,15,9,WD,WD,,,,,,,3,14,17,17,Ret,Ret,17,Ret,40
16,Jake Hughes,Ret,9,DSQ,4,18,12,20,16,18,13,9,10,11,10,16,5,,,,,,,,,,,,,26
17,Amaury Cordeel,17,15,Ret,WD,DNS,17,19,15,17,Ret,13,Ret,,,18,18,Ret,15,13,17,18,17,12,6,15,7,5,6,26
18,David Beckmann,,,,,Ret,8,,,,,,,16,19,,,10,14,12,14,8,6,14,13,7,5,,,25
19,Roy Nissany,12,8,9,8,4,Ret,15,10,9,Ret,10,Ret,14,Ret,13,9,16,9,19,18,11,19,15,16,,,8,10,20
20,Roberto Merhi,,,,,,,,,,,,,,,19,3,Ret,Ret,14,Ret,,,,,,,,,15
21,Olli Caldwell,19,17,14,16,17,13,13,14,16,15,19,Ret,18,17,17,6,18,13,10,20,,,Ret,8,Ret,Ret,16,20,12
22,Marino Sato,16,11,8,17,16,11,17,19,15,10,17,8,Ret,15,Ret,16,9,Ret,15,15,12,15,19,Ret,11,11,19,15,6
23,Calan Williams,15,18,4,13,14,15,16,11,14,16,16,16,17,16,14,15,13,11,11,16,16,16,18,11,14,Ret,,,5
24,Cem Bölükbaşı,14,14,WD,WD,,,18,20,12,11,18,Ret,19,18,NC,Ret,15,Ret,16,13,,,,,,,,,0
25,Luca Ghiotto,,,,,,,,,,,,,,,,,,,,,,,,,13,Ret,,,0
26,Zane Maloney,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,0
27,Juan Manuel Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,0
28,Tatiana Calderón,,,,,,,,,,,,,,,,,,,,,19,18,Ret,Ret,Ret,DNS,20,18,0
29,Lirim Zendeli,,,,,,,,,,,,,,,,,,,,,20,21,,,,,,,0
