Pos,Team,BHR SR,BHR FR,JDH FR,JDH SR,IMO SR,IMO FR,CAT FR,CAT SR,MON SR,MON FR,BAK FR,BAK SR,SIL SR,SIL FR,RBR FR,RBR SR,LEC SR,LEC FR,HUN FR,HUN SR,SPA SR,SPA FR,ZAN FR,ZAN SR,MNZ SR,MNZ FR,YMC FR,YMC SR,Points
1,MP Motorsport,5,6,3,1,5,4,1,1,Ret,1,5,3,5,4,4,11,3,4,4,9,4,2,2,1,Ret,6,3,2,305
1,MP Motorsport,18,Ret,11,14,19,10,14,5,Ret,Ret,14,Ret,13,13,15,17,17,8,20,12,20,9,10,Ret,Ret,8,14,12,305
2,Carlin,3,2,1,12,6,7,3,4,8,9,3,2,7,1,7,1,1,6,6,7,1,3,4,12,4,13,1,3,297
2,Carlin,6,7,Ret,Ret,8,Ret,9,9,10,Ret,6,15,20,3,Ret,10,8,Ret,Ret,10,Ret,5,8,Ret,5,Ret,6,5,297
3,ART Grand Prix,13,1,12,18,7,1,5,3,6,2,1,7,4,2,2,13,5,2,9,1,6,11,11,9,2,2,9,11,281
3,ART Grand Prix,Ret,Ret,13,Ret,10,6,7,8,11,14,7,11,6,5,12,14,7,3,5,4,19,Ret,20,15,17,Ret,11,19,281
4,Prema Racing,2,12,7,3,2,9,4,13,1,7,2,1,8,7,9,4,2,7,17,11,10,12,3,4,3,1,4,4,241
4,Prema Racing,9,19,16,6,3,Ret,12,Ret,2,8,Ret,4,15,Ret,11,12,12,16,Ret,19,DNS,20,16,10,9,4,Ret,13,241
5,Hitech Grand Prix,7,3,2,5,1,16,10,7,3,3,4,12,9,6,1,8,11,12,2,5,7,8,1,7,1,10,10,8,207
5,Hitech Grand Prix,Ret,5,Ret,10,15,Ret,Ret,17,5,6,12,Ret,12,8,5,Ret,14,Ret,7,6,13,13,5,14,10,12,12,9,207
6,DAMS,8,8,6,7,4,5,2,10,9,17,8,14,2,12,10,7,6,1,8,3,9,7,6,3,13,Ret,8,1,161
6,DAMS,12,16,9,8,9,Ret,15,12,19,Ret,10,Ret,14,Ret,13,9,16,9,19,18,11,19,15,16,16,DSQ,13,10,161
7,Virtuosi Racing,10,10,8,9,11,11,6,2,7,4,11,8,1,9,3,16,4,5,1,15,2,1,9,Ret,6,11,7,15,134
7,Virtuosi Racing,16,11,Ret,17,16,Ret,17,19,15,10,17,13,Ret,15,Ret,19,9,Ret,15,Ret,12,15,19,Ret,11,Ret,19,Ret,134
8,Charouz Racing System,11,13,10,11,12,2,8,6,4,5,18,6,3,11,8,2,15,10,3,2,13,10,13,5,12,3,20,14,130
8,Charouz Racing System,14,14,WD,WD,Ret,8,18,20,12,11,Ret,Ret,19,18,NC,Ret,Ret,Ret,16,13,19,18,Ret,Ret,Ret,DNS,Ret,18,130
9,Trident,1,18,4,2,13,14,11,11,13,12,16,5,10,14,6,15,13,11,11,8,5,4,7,2,8,9,2,7,108
9,Trident,15,Ret,5,13,14,15,16,18,14,16,20,16,17,16,14,DSQ,NC,17,18,16,16,16,18,11,14,Ret,15,16,108
10,Van Amersfoort Racing,17,9,Ret,4,18,12,19,15,17,13,9,10,11,10,16,5,10,14,12,14,8,6,12,6,7,5,5,6,73
10,Van Amersfoort Racing,Ret,15,DSQ,WD,DNS,17,20,16,18,Ret,13,Ret,16,19,18,18,Ret,15,13,17,18,17,14,13,15,7,18,17,73
11,Campos Racing,4,4,14,15,17,3,13,14,16,15,15,9,18,17,17,3,18,13,10,20,3,14,17,8,Ret,Ret,16,20,67
11,Campos Racing,19,17,15,16,Ret,13,WD,WD,WD,WD,19,Ret,WD,WD,19,6,Ret,Ret,14,Ret,20,21,Ret,17,Ret,Ret,17,Ret,67
