Pos.,No.,Driver,Entrant,Time,GridSR,GridFR
1,3,Jack Doohan,Virtuosi Racing,1:31.641,9,1
2,5,Liam Lawson,Carlin,+0.126,8,2
3,7,Marcus Armstrong,Hitech Grand Prix,+0.193,7,3
4,11,Felipe Drugovich,MP Motorsport,+0.204,121,4
5,20,Richard Verschoor,Trident,+0.218,6,5
6,2,Jehan Daruvala,Prema Racing,+0.241,5,6
7,17,Ayumu Iwasa,DAMS,+0.279,4,7
8,8,Jüri Vips,Hitech Grand Prix,+0.328,3,8
9,6,Logan Sargeant,Carlin,+0.382,2,9
10,9,Frederik Vesti,ART Grand Prix,+0.386,1,10
11,24,David Beckmann,Van Amersfoort Racing,+0.551,10,11
12,25,Amaury Cordeel,Van Amersfoort Racing,+0.707,11,12
13,15,Ralph Boschung,Campos Racing,+0.711,13,13
14,10,Théo Pourchaire,ART Grand Prix,+0.783,14,14
15,4,Marino Sato,Virtuosi Racing,+0.811,15,15
16,22,Enzo Fittipaldi,Charouz Racing System,+0.814,16,16
17,21,Calan Williams,Trident,+1.011,17,17
18,16,Luca Ghiotto,DAMS,+1.213,18,18
19,1,Dennis Hauger,Prema Racing,+1.272,19,19
20,14,Olli Caldwell,Campos Racing,+1.554,20,20
21,12,Clément Novalak,MP Motorsport,+1.704,21,21
22,23,Tatiana Calderón,Charouz Racing System,+1.984,22,22
