Pos,Driver,BHR SR,BHR FR,JED FR,JED SR,ALB SR,ALB FR,BAK FR,BAK SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,ZAN SR,ZAN FR,MNZ FR,MNZ SR,YMC SR,YMC FR,Points
1,Théo Pourchaire,5,1,Ret,13,18,2,15,3,8,2,2,7,14,7,2,3,4,6,2,2,19,Ret,4,3,7,5,203
2,Frederik Vesti,17,Ret,6,1,8,4,2,4,9,1,1,5,9,3,1,Ret,9,2,6,DNS,7,Ret,1,Ret,1,3,192
3,Jack Doohan,11,16,7,2,Ret,8,17,15,6,Ret,5,6,7,4,3,4,10,1,5,1,6,DNS,9,6,6,1,168
4,Ayumu Iwasa,4,8,1,4,13,1,Ret,12,1,10,8,4,11,2,21,5,2,4,7,Ret,13,13,Ret,2,8,4,165
5,Victor Martins,3,Ret,2,Ret,15,18,13,DSQ,7,8,3,3,2,9,7,1,7,3,4,5,2,9,2,Ret,20,2,150
6,Oliver Bearman,15,14,Ret,10,7,17,1,1,Ret,11,7,1,8,5,6,8,3,12,12,7,3,Ret,6,1,10,Ret,130
7,Enzo Fittipaldi,8,9,13,7,DNS,Ret,5,2,10,Ret,10,2,Ret,6,4,7,11,8,1,3,15,7,15,4,2,14,124
8,Dennis Hauger,2,Ret,8,5,1,19,12,6,15,5,4,8,6,11,12,14,1,7,3,DSQ,9,5,12,5,4,7,113
9,Richard Verschoor,22,5,16,6,10,7,Ret,8,4,4,6,10,Ret,1,18,16,13,10,DSQ,6,12,4,3,13,3,Ret,108
10,Zane Maloney,9,3,Ret,17,5,5,Ret,11,5,3,14,16,18,15,10,2,12,16,10,4,5,2,14,Ret,9,17,96
11,Kush Maini,7,4,5,12,3,9,4,5,13,6,18,17,16,Ret,13,Ret,6,20,18,8,Ret,18,5,Ret,13,9,62
12,Jehan Daruvala,6,17,3,3,17,6,14,14,2,13,19,14,Ret,10,11,6,5,11,Ret,Ret,10,17,17,7,,,59
13,Jak Crawford,14,12,9,15,2,Ret,3,9,3,9,Ret,13,1,8,14,10,14,17,14,Ret,Ret,3,13,16,12,10,57
14,Isack Hadjar,20,7,12,9,6,15,11,7,Ret,12,12,20,3,12,5,15,8,5,11,Ret,1,6,11,11,5,8,55
15,Arthur Leclerc,12,6,11,8,4,3,16,10,14,Ret,9,9,13,Ret,8,9,15,13,9,11,11,14,7,Ret,21,6,49
16,Ralph Boschung,1,2,4,19,DNS,16,Ret,20,Ret,Ret,16,15,17,14,20,Ret,Ret,19,8,10,Ret,16,19,9,18,15,37
17,Clément Novalak,16,13,15,16,11,11,7,16,17,17,11,21,DSQ,13,17,12,Ret,Ret,17,13,8,1,10,Ret,,,28
18,Roman Staněk,13,Ret,17,14,16,14,8,17,12,7,13,12,5,Ret,15,Ret,16,14,15,9,14,11,8,10,11,12,15
19,Juan Manuel Correa,10,10,14,18,14,10,6,13,16,14,Ret,11,4,18,19,11,20,9,16,16,4,10,18,14,Ret,13,13
20,Amaury Cordeel,21,15,19,20,12,13,9,19,Ret,NC,17,19,15,17,16,Ret,19,21,Ret,15,16,8,Ret,8,17,16,8
21,Roy Nissany,18,11,10,11,9,Ret,Ret,18,Ret,15,20,18,10,16,9,17,17,15,13,12,17,12,Ret,15,14,11,0
22,Brad Benavides,19,18,18,Ret,Ret,12,10,Ret,11,16,15,22,12,19,Ret,13,18,18,,,,,,,,,0
23,Josh Mason,,,,,,,,,,,,,,,,,,,19,14,18,15,16,12,15,Ret,0
24,Paul Aron,,,,,,,,,,,,,,,,,,,,,,,,,16,18,0
25,Franco Colapinto,,,,,,,,,,,,,,,,,,,,,,,,,19,Ret,0
