Pos,Team,BHR SR,BHR FR,JED FR,JED SR,ALB SR,ALB FR,BAK FR,BAK SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,ZAN SR,ZAN FR,MNZ FR,MNZ SR,YMC SR,YMC FR,Points
1,ART Grand Prix,3,1,2,13,15,2,13,3,7,2,2,3,2,7,2,1,4,3,2,2,2,9,2,3,7,2,353
1,ART Grand Prix,5,Ret,Ret,Ret,18,18,15,DSQ,8,8,3,7,14,9,7,3,7,6,4,5,19,Ret,4,Ret,20,5,353
2,Prema Racing,15,14,6,1,7,4,1,1,9,1,1,1,8,3,1,8,3,2,6,7,3,Ret,1,1,1,3,322
2,Prema Racing,17,Ret,Ret,10,8,17,2,4,Ret,11,7,5,9,5,6,Ret,9,12,12,DNS,7,Ret,6,Ret,10,Ret,322
3,Rodin Carlin,8,3,13,7,5,5,5,2,5,3,10,2,18,6,4,2,11,8,1,3,5,2,14,4,2,14,220
3,Rodin Carlin,9,9,Ret,17,DNS,Ret,Ret,11,10,Ret,14,16,Ret,15,10,7,12,16,10,4,15,7,15,Ret,9,17,220
4,DAMS,4,6,1,4,4,1,16,10,1,10,8,4,11,2,8,5,2,4,7,11,11,13,7,2,8,4,214
4,DAMS,12,8,11,8,13,3,Ret,12,14,Ret,9,9,13,Ret,21,9,15,13,9,Ret,13,14,Ret,Ret,21,6,214
5,Invicta Virtuosi Racing,11,15,7,2,12,8,9,15,6,NC,5,6,7,4,3,4,10,1,5,1,6,8,9,6,6,1,176
5,Invicta Virtuosi Racing,21,16,19,20,Ret,13,17,19,Ret,Ret,17,19,15,17,16,Ret,19,21,Ret,15,16,DNS,Ret,8,17,16,176
6,MP Motorsport,2,17,3,3,1,6,12,6,2,5,4,8,6,10,11,6,1,7,3,Ret,9,5,12,5,4,7,172
6,MP Motorsport,6,Ret,8,5,17,19,14,14,15,13,19,14,Ret,11,12,14,5,11,Ret,DSQ,10,17,17,7,19,Ret,172
7,Van Amersfoort Racing,10,5,14,6,10,7,6,8,4,4,6,10,4,1,18,11,13,9,16,6,4,4,3,13,3,13,121
7,Van Amersfoort Racing,22,10,16,18,14,10,Ret,13,16,14,Ret,11,Ret,18,19,16,20,10,DSQ,16,12,10,18,14,Ret,Ret,121
8,Hitech Pulse-Eight,14,7,9,9,2,15,3,7,3,9,12,13,1,8,5,10,8,5,11,Ret,1,3,11,11,5,8,112
8,Hitech Pulse-Eight,20,12,12,15,6,Ret,11,9,Ret,12,Ret,20,3,12,14,15,14,17,14,Ret,Ret,6,13,16,12,10,112
9,Campos Racing,1,2,4,12,3,9,4,5,13,6,16,15,16,14,13,Ret,6,19,8,8,Ret,16,5,9,13,9,99
9,Campos Racing,7,4,5,19,DNS,16,Ret,20,Ret,Ret,18,17,17,Ret,20,Ret,Ret,20,18,10,Ret,18,19,Ret,18,15,99
10,Trident,13,13,15,14,11,11,7,16,12,7,11,12,5,13,15,12,16,14,15,9,8,1,8,10,11,12,43
10,Trident,16,Ret,17,16,16,14,8,17,17,17,13,21,DSQ,Ret,17,Ret,Ret,Ret,17,13,14,11,10,Ret,16,18,43
11,PHM Racing by Charouz (1–12) PHM Racing (13),18,11,10,11,9,12,10,18,11,15,15,18,10,16,9,13,17,15,13,12,17,12,16,12,14,11,0
11,PHM Racing by Charouz (1–12) PHM Racing (13),19,18,18,Ret,Ret,Ret,Ret,Ret,Ret,16,20,22,12,19,Ret,17,18,18,19,14,18,15,Ret,15,15,Ret,0
