Pos,Driver,BHR SR,BHR FR,JED FR,JED SR,ALB SR,ALB FR,IMO FR,IMO SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,MNZ SR,MNZ FR,BAK FR,BAK SR,LUS SR,LUS FR,YAS FR,YAS SR,Points
1,Gabriel Bortoleto,6,5,10,Ret,Ret,Ret,6,2,2,8,5,10,4,1,4,6,16,4,10,2,8,1,5,4,5,3,2,2,214.5
2,Isack Hadjar,4,Ret,15†,Ret,6,1,Ret,1,8,2,6,5,13,3,Ret,1,3,18,9,1,10,11,12,14,4,2,5,19,192
3,Paul Aron,5,3,2,10,18,2,2,6,7,3,3,4,3,5,Ret,12,6,Ret,18,16†,20,Ret,6,6,7,1,DSQ,11,163
4,Zane Maloney,1,1,4,7,10,3,3,11,Ret,10,20,7,17,Ret,2,2,13,Ret,4,6,5,2,10,15,6,9,,,140
5,Jak Crawford,2,Ret,5,4,9,10,14,7,13,Ret,4,1,6,10,6,3,9,17,5,3,6,9,2,8,2,Ret,8,Ret,125
6,Andrea Kimi Antonelli,14,10,6,6,Ret,4,10,4,4,7,15,12,15,13,1,Ret,14,1,6,9,18,4,7,3,19†,Ret,WD,WD,113
7,Victor Martins,11,Ret,Ret,11,7,8,12,9,Ret,9,1,Ret,10,11,Ret,5,2,2,12,Ret,2,6,4,2,9,NC,19,4,107
8,Richard Verschoor,10,14,DSQ,8,Ret,6,7,10,16,Ret,13,18†,20,Ret,11,13,DSQ,3,3,5,14,3,17,1,3,17,7,3,106
9,Franco Colapinto,18,6,11,Ret,4,DSQ,1,5,5,13,18,2,11,2,5,4,5,13,8,Ret,,,,,,,,,96
10,Joshua Dürksen,15,11,9,12,17,Ret,Ret,3,18,18†,10,Ret,8,6,16,Ret,18,19,19,10,3,5,1,5,8,13,Ret,1,87
11,Dennis Hauger,8,8,1,3,2,Ret,Ret,12,3,6,12,Ret,5,12,7,9,4,6,2,12,8,Ret,14,9,,,,,85.5
12,Oliver Bearman,16,15,WD,WD,14,9,5,19,11,4,21,14,1,Ret,Ret,7,10,15,7,Ret,1,7,,,1,12,4,5,75
13,Kush Maini,13,7,8,2,3,12,8,14,Ret,17,2,6,7,17,3,19,1,7,13,15,11,15,9,DSQ,20†,14,17,12,74
14,Pepe Martí,3,2,7,Ret,Ret,13,16,Ret,Ret,14,11,9,2,15,Ret,10,17,12,Ret,Ret,4,12,19,Ret,Ret,16,1,6,62
15,Enzo Fittipaldi,17,Ret,3,1,12,17,Ret,17,9,12,16,11,14,4,13,8,21,5,14,Ret,7,10,13,11,,,,,61
16,Zak O'Sullivan,7,4,16†,Ret,8,Ret,9,13,10,1,9,15,9,9,Ret,11,19,14,1,4,Ret,13,,,,,,,59
17,Amaury Cordeel,Ret,Ret,Ret,5,16,11,4,Ret,14,Ret,14,8,18,7,15,15,20,Ret,11,8,12,18,18,12,16,7,13,8,39
18,Juan Manuel Correa,12,Ret,Ret,14,11,14,15,8,12,5,8,3,16,14,12,20,8,16,17,11,17,Ret,15,Ret,,,,,31
19,Ritomo Miyata,9,9,12,15,5,5,13,15,17,15,7,13,22,Ret,10,17,12,8,15,7,13,14,Ret,13,13,10,11,10,31
20,Dino Beganovic,,,,,,,,,,,,,,,,,,,,,,,,,10,5,3,7,22
21,Taylor Barnard,Ret,16,13,13,13,16,DSQ,20,1,11,19,Ret,12,8,9,14,7,9,16,13,,,,,,,,,18
22,Roman Staněk,Ret,13,DSQ,Ret,1,15,Ret,18,6,16,22,17,21,18,8,18,15,11,20,14,15,17,,,,,,,14
23,Oliver Goethe,,,,,,,,,,,,,,,,,,,,,Ret,16,21,Ret,Ret,4,9,9,14
24,Rafael Villagómez,19,12,14,9,15,7,11,16,15,Ret,17,16,19,16,14,16,11,10,21,Ret,16,8,16,Ret,17,Ret,12,Ret,13
25,Christian Mansell,,,,,,,,,,,,,,,,,,,,,,,8,10,15,6,16,16,10
26,Luke Browning,,,,,,,,,,,,,,,,,,,,,,,11,7,11,15,6,15,7
27,Gabriele Minì,,,,,,,,,,,,,,,,,,,,,,,3,Ret,,,,,6
28,John Bennett,,,,,,,,,,,,,,,,,,,,,,,,,12,8,15,14,4
29,Leonardo Fornaroli,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,0
30,Cian Shields,,,,,,,,,,,,,,,,,,,,,,,,,18,11,18,18,0
31,Max Esterson,,,,,,,,,,,,,,,,,,,,,,,,,14,18,14,17,0
32,Niels Koolen,,,,,,,,,,,,,,,,,,,,,19,19,20,Ret,,,,,0
