Pos,Team,BHR SR,BHR FR,JED FR,JED SR,ALB SR,ALB FR,IMO FR,IMO SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,MNZ SR,MNZ FR,BAK FR,BAK SR,LUS SR,LUS FR,YAS FR,YAS SR,Points
1,Invicta Racing,6,5,8,2,3,12,6,2,2,8,2,6,4,1,3,6,1,4,10,2,8,1,5,4,5,3,2,2,288.5
1,Invicta Racing,13,7,10,Ret,Ret,Ret,8,14,Ret,17,5,10,7,17,4,19,16,7,13,15,11,15,9,DSQ,20†,14,17,12,288.5
2,Campos Racing,3,2,7,Ret,6,1,16,1,8,2,6,5,2,3,Ret,1,3,12,9,1,4,11,12,14,4,2,1,6,254
2,Campos Racing,4,Ret,15†,Ret,Ret,13,Ret,Ret,Ret,14,11,9,13,15,Ret,10,17,18,Ret,Ret,10,12,19,Ret,Ret,16,5,19,254
3,MP Motorsport,8,6,1,3,2,Ret,1,5,3,6,12,2,5,2,5,4,4,6,2,12,8,16,14,9,3,4,7,3,220.5
3,MP Motorsport,18,8,11,Ret,4,DSQ,Ret,12,5,13,18,Ret,11,12,7,9,5,13,8,Ret,Ret,Ret,21,Ret,Ret,17,9,9,220.5
4,Hitech Pulse-Eight,5,3,2,5,16,2,2,6,7,3,3,4,3,5,15,12,6,Ret,11,8,12,18,6,6,7,1,13,8,202
4,Hitech Pulse-Eight,Ret,Ret,Ret,10,18,11,4,Ret,14,Ret,14,8,18,7,Ret,15,20,Ret,18,16†,20,Ret,18,12,16,7,DSQ,11,202
5,Prema Racing,14,10,6,6,14,4,5,4,4,4,15,12,1,13,1,7,10,1,6,9,1,4,3,3,1,12,4,5,194
5,Prema Racing,16,15,WD,WD,Ret,9,10,19,11,7,21,14,15,Ret,Ret,Ret,14,15,7,Ret,18,7,7,Ret,19†,Ret,WD,WD,194
6,DAMS Lucas Oil,2,Ret,5,4,9,10,14,7,12,5,4,1,6,10,6,3,8,16,5,3,6,9,2,8,2,5,3,7,178
6,DAMS Lucas Oil,12,Ret,Ret,14,11,14,15,8,13,Ret,8,3,16,14,12,20,9,17,17,11,17,Ret,15,Ret,10,Ret,8,Ret,178
7,ART Grand Prix,7,4,16†,11,7,8,9,9,10,1,1,15,9,9,Ret,5,2,2,1,4,2,6,4,2,9,15,6,4,173
7,ART Grand Prix,11,Ret,Ret,Ret,8,Ret,12,13,Ret,9,9,Ret,10,11,Ret,11,19,14,12,Ret,Ret,13,11,7,11,NC,19,15,173
8,Rodin Motorsport,1,1,4,7,5,3,3,11,17,10,7,7,17,Ret,2,2,12,8,4,6,5,2,10,13,6,9,10,10,171
8,Rodin Motorsport,9,9,12,15,10,5,13,15,Ret,15,20,13,22,Ret,10,17,13,Ret,15,7,13,14,Ret,15,13,10,11,13,171
9,PHM AIX Racing(1–3)AIX Racing(4–14),15,11,9,12,13,16,Ret,3,1,11,10,Ret,8,6,9,14,7,9,16,10,3,5,1,5,8,11,18,1,105
9,PHM AIX Racing(1–3)AIX Racing(4–14),Ret,16,13,13,17,Ret,DSQ,20,18,18†,19,Ret,12,8,16,Ret,18,19,19,13,19,19,20,Ret,18,13,Ret,18,105
10,Trident,10,13,DSQ,8,1,6,7,10,6,16,13,17,20,18,8,13,15,3,3,5,14,3,8,1,14,6,14,16,105
10,Trident,Ret,14,DSQ,Ret,Ret,15,Ret,18,16,Ret,22,18†,21,Ret,11,18,DSQ,11,20,14,15,17,17,10,15,18,16,17,105
11,Van Amersfoort Racing,17,12,3,1,12,7,11,16,9,12,16,11,14,4,13,8,11,5,14,Ret,7,8,13,11,12,8,12,14,78
11,Van Amersfoort Racing,19,Ret,14,9,15,17,Ret,17,15,Ret,17,16,19,16,14,16,21,10,21,Ret,16,10,16,Ret,17,Ret,15,Ret,78
