Pos.,No.,Driver,Team,Time/Gap,GridSR,GridFR
1,17,Paul Aron,Hitech Pulse-Eight,1:56.959,201,1
2,10,Gabriel Bortoleto,Invicta Racing,+0.168,9,2
3,20,Isack Hadjar,Campos Racing,+0.282,8,3
4,7,Jak Crawford,DAMS Lucas Oil,+0.423,7,4
5,4,Andrea Kimi Antonelli,Prema Racing,+0.438,6,5
6,5,Zane Maloney,Rodin Motorsport,+0.547,5,6
7,12,Franco Colapinto,MP Motorsport,+0.724,4,7
8,22,Richard Verschoor,Trident,+0.789,3,8
9,11,Dennis Hauger,MP Motorsport,+0.815,2,9
10,2,Zak O'Sullivan,ART Grand Prix,+0.823,1,10
11,16,Amaury Cordeel,Hitech Pulse-Eight,+0.823,10,11
12,9,Kush Maini,Invicta Racing,+0.845,11,12
13,14,Enzo Fittipaldi,Van Amersfoort Racing,+0.862,12,13
14,8,Juan Manuel Correa,DAMS Lucas Oil,+0.954,13,14
15,3,Oliver Bearman,Prema Racing,+1.020,14,15
16,6,Ritomo Miyata,Rodin Motorsport,+1.104,15,16
17,21,Pepe Martí,Campos Racing,+1.161,16,17
18,15,Rafael Villagómez,Van Amersfoort Racing,+1.230,17,18
19,25,Taylor Barnard,AIX Racing,+1.829,18,19
20,24,Joshua Dürksen,AIX Racing,+2.113,19,20
21,23,Roman Staněk,Trident,+2.500,21,21
—,1,Victor Martins,ART Grand Prix,No Time,222,22
