Pos,Team,ALB SR,ALB FR,BHR FR,BHR SR,JED SR,JED FR,IMO FR,IMO SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,SPA SR,SPA FR,HUN FR,HUN SR,MNZ SR,MNZ FR,BAK FR,BAK SR,LUS SR,LUS FR,YAS FR,YAS SR,Points
1,Campos Racing,8,C,1,4,1,5,2,4F,8,5,8,1P,1,6,9,8F,,,,,,,,,,,,,153
1,Campos Racing,10,C,5,8,2,7,16,14,Ret,Ret,14,6,Ret,12,10,9,,,,,,,,,,,,,153
2,DAMS Lucas Oil,16,C,12,16,10,2P,1,6,1,1,4,4,17,3,4,1,,,,,,,,,,,,,142
2,DAMS Lucas Oil,Ret,C,16,18,Ret,10,13,21,4,6,16,7,DNS,16,6,16,,,,,,,,,,,,,142
3,HitechTGR,3,C,3,2F,9,6,3F,2,3,4,6,15,Ret,5,12,3,,,,,,,,,,,,,141
3,HitechTGR,14,C,10,7,15,13,12,3P,15,RetF,15,20,Ret,9,18,4,,,,,,,,,,,,,141
4,MP Motorsport,4,C,2,6,4F,1F,10,7,5,10,1,3,4,1,7,7,,,,,,,,,,,,,134
4,MP Motorsport,11,C,4F,11,11,14,22†,9,12,Ret,18,16,11,17†,11,11,,,,,,,,,,,,,134
5,Invicta Racing,2,C,8,3P,5,4,7,5,7,2,7,11,3F,2P,1,6,,,,,,,,,,,,,133
5,Invicta Racing,5,C,15,17,7,12,8,17,11,7,17,21†,16†,8,3,Ret,,,,,,,,,,,,,133
6,Rodin Motorsport,9,C,11,1,3,8,5,1,9F,8,2F,5F,6,Ret,19,2,,,,,,,,,,,,,110
6,Rodin Motorsport,15,C,19,13,14,15,20,15,14,RetP,10,13,13†,DSQ,Ret,17,,,,,,,,,,,,,110
7,Prema Racing,6,C,7,9,6,9,9,8,2,3,11,2,5,4F,2F,5,,,,,,,,,,,,,93
7,Prema Racing,7F,C,Ret,19,13,Ret,15,18,6,Ret,Ret,10,14†,Ret,14,Ret,,,,,,,,,,,,,93
8,ART Grand Prix,12,CP,9,5,8,3,4,12,10,Ret,5,8,7,7,8,15,,,,,,,,,,,,,58
8,ART Grand Prix,Ret,C,14,14,19,16,6,16,17,Ret,13,9,8,Ret,20,19†P,,,,,,,,,,,,,58
9,AIX Racing,1,C,18,10,12,11,11,11,Ret,13,12,17,2,13,5,14,,,,,,,,,,,,,23
9,AIX Racing,17,C,DSQ,22,Ret,19,18,13,Ret,Ret,NC,19,12,Ret,17,20†,,,,,,,,,,,,,23
10,Van Amersfoort Racing,13,C,6,12,17,17,14,20,18,9,3,18,9,11,15,10,,,,,,,,,,,,,11
10,Van Amersfoort Racing,18,C,17,20,20,20,19,Ret,Ret,11,Ret,Ret,15†,14,16,12,,,,,,,,,,,,,11
11,Trident,Ret,C,13,15,16,18,17,10,13,12,9,12,10,10,13,13,,,,,,,,,,,,,2
11,Trident,Ret,C,Ret,21,18,Ret,21,19,16,Ret,19,14,Ret,15,21,18,,,,,,,,,,,,,2
