Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,10,Gabriele Minì,Prema Racing,1:29.286,131,41
2,14,Victor Martins,ART Grand Prix,+0.114,7,1
3,11,Jak Crawford,DAMS Lucas Oil,+0.301,182,13
4,6,Richard Verschoor,MP Motorsport,+0.364,6,2
5,17,Alexander Dunne,Rodin Motorsport,+0.516,162,15
6,2,Roman Staněk,Invicta Racing,+0.549,5,3
7,8,Dino Beganovic,HitechTGR,+0.565,4,5
8,7,Luke Browning,HitechTGR,+0.581,3,6
9,20,Joshua Dürksen,AIX Racing,+0.652,2,7
10,1,Leonardo Fornaroli,Invicta Racing,+0.662,1,8
11,9,Sebastián Montoya,Prema Racing,+0.727,8,9
12,15,Ritomo Miyata,ART Grand Prix,+0.731,9,10
13,12,Kush Maini,DAMS Lucas Oil,+0.772,192,19
14,4,Arvid Lindblad,Campos Racing,+0.803,10,11
15,22,Sami Meguetounif,Trident,+0.953,202,20
16,3,Pepe Martí,Campos Racing,+0.985,11,12
17,16,Amaury Cordeel,Rodin Motorsport,+1.066,212,21
18,25,Rafael Villagómez,Van Amersfoort Racing,+1.370,12,14
19,5,Oliver Goethe,MP Motorsport,+2.022,14,16
20,24,John Bennett,Van Amersfoort Racing,+2.120,15,17
21,21,Cian Shields,AIX Racing,+2.230,17,18
—,23,Max Esterson,Trident,No time,223,22
