Pos,Driver,CAT R1,CAT R2,IST R1,IST R2,VAL R1,VAL R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,Points
1,Esteban Gutiérrez,3,3,1,7,1,7,1,3,4,1,2,5,16,7,1,Ret,88
2,Robert Wickens,2,4,11,21,2,16,9,5,1,5,4,2,1,11,2,1,71
3,Nico Müller,13,9,6,4,7,1,3,4,Ret,17,1,6,4,6,4,3,53
4,Alexander Rossi,8,1,4,3,Ret,Ret,5,2,Ret,8,8,1,13,2,Ret,15,38
5,Rio Haryanto,20,25,8,1,6,4,2,Ret,Ret,Ret,20,11,18,18,3,23,27
6,Roberto Merhi,,,,,3,2,Ret,19,16,Ret,Ret,22,2,22,6,4,26
7,Dean Smith,4,5,22,10,17,23,6,22,9,12,5,3,6,4,Ret,16,24
8,James Jakes,9,7,2,8,8,3,Ret,11,2,Ret,,,,,13,Ret,21
9,Stefano Coletti,,,24,14,10,6,10,Ret,5,3,3,4,Ret,24,16,20,18
10,Miki Monrás,10,23,7,2,5,13,15,18,Ret,15,Ret,20,9,3,11,6,17
11,Mirko Bortolotti,16,Ret,25,12,18,10,8,13,6,4,11,8,Ret,14,5,2,16
12,Daniel Morad,Ret,22,5,5,19,12,7,1,Ret,9,21,12,Ret,16,9,7,15
13,Pål Varhaug,1,Ret,15,18,11,8,14,9,12,Ret,17,23,15,17,14,19,10
14,Daniel Juncadella,11,11,,,,,Ret,Ret,8,2,,,5,DSQ,22,Ret,10
15,Adrian Quaife-Hobbs,21,26,Ret,Ret,12,5,Ret,Ret,DNS,18,12,7,3,5,17,22,10
16,Felipe Guimarães,Ret,20,3,6,Ret,18,Ret,23,7,7,13,Ret,Ret,9,Ret,17,9
17,Jean-Éric Vergne,5,21,,,4,17,,,,,,,,,,,9
18,Josef Newgarden,Ret,16,10,23,Ret,26,16,10,18,19,7,Ret,Ret,21,7,5,8
19,Lucas Foresti,7,2,,,21,28,18,16,Ret,14,,,,,20,Ret,7
20,Adrien Tambay,,,,,,,,,,,18,9,Ret,1,,,6
21,Renger van der Zande,15,24,Ret,Ret,Ret,24,11,7,3,Ret,9,Ret,Ret,Ret,Ret,Ret,6
22,Tobias Hegewald,17,13,16,15,9,29,4,6,Ret,Ret,15,Ret,11,8,10,11,6
23,Nigel Melker,Ret,14,23,17,Ret,15,12,Ret,Ret,Ret,23,14,12,15,8,13,5
24,Pedro Nunes,12,6,Ret,19,15,11,Ret,20,14,6,19,Ret,7,19,24,Ret,4
25,Simon Trummer,6,8,20,13,13,27,17,12,11,Ret,,,8,Ret,Ret,24,4
26,António Félix da Costa,,,,,,,,,,,6,17,Ret,12,,,3
27,Leonardo Cordeiro,18,12,18,24,Ret,21,Ret,Ret,Ret,Ret,22,13,14,Ret,Ret,8,1
28,Oliver Oakes,14,10,12,Ret,Ret,19,13,8,13,20,16,10,17,10,12,9,0
29,Doru Sechelariu,22,Ret,9,9,Ret,20,Ret,17,10,DSQ,14,21,Ret,20,21,18,0
30,Pablo Sánchez López,Ret,15,21,16,14,9,21,14,Ret,11,Ret,16,Ret,25,18,12,0
31,Michael Christensen,Ret,18,13,11,Ret,14,Ret,15,Ret,10,10,Ret,10,23,15,10,0
32,Ivan Lukashevich,19,19,19,27,16,25,19,Ret,17,13,25,18,Ret,13,19,14,0
33,Patrick Reiterer,NC,17,14,25,,,,,,,,,,,,,0
34,Vittorio Ghirelli,DNS,DNS,17,26,20,22,20,21,15,16,24,15,Ret,Ret,23,21,0
35,Marco Barba,,,,,,,,,,,Ret,19,,,,,0
36,Jim Pla,,,Ret,20,,,,,,,,,,,,,0
37,Mikhail Aleshin,,,Ret,22,,,,,,,,,,,,,0
