Pos,No,Driver,Team,Time,Grid
1,10,Nigel Melker,RSC Mücke Motorsport,1:46.361,1
2,2,Esteban Gutiérrez,ART Grand Prix,1:46.599,2
3,15,Dean Smith,Carlin,1:46.728,3
4,9,Adrian Quaife-Hobbs,Manor Racing,1:46.823,4
5,7,James Jakes,Manor Racing,1:46.900,5
6,6,Daniel Morad,Status Grand Prix,1:46.931,6
7,17,Felipe Guimarães,Addax Team,1:46.987,7
8,24,Simon Trummer,Jenzer Motorsport,1:47.074,8
9,1,Alexander Rossi,ART Grand Prix,1:47.111,9
10,12,Tobias Hegewald,RSC Mücke Motorsport,1:47.163,10
11,19,Mirko Bortolotti,Addax Team,1:47.222,11
12,21,Miki Monrás,MW Arden,1:47.222,12
13,25,Nico Müller,Jenzer Motorsport,1:47.226,13
14,28,Jim Pla,Tech 1 Racing,1:47.238,17
15,23,Pål Varhaug,Jenzer Motorsport,1:47.264,14
16,18,Pablo Sánchez López,Addax Team,1:47.287,19
17,22,Leonardo Cordeiro,MW Arden,1:47.393,15
18,8,Rio Haryanto,Manor Racing,1:47.449,16
19,26,Doru Sechelariu,Tech 1 Racing,1:47.494,18
20,30,Oliver Oakes,ATECHCRS GP,1:47.506,20
21,14,Josef Newgarden,Carlin,1:47.638,21
22,4,Robert Wickens,Status Grand Prix,1:47.665,22
23,27,Stefano Coletti,Tech 1 Racing,1:47.732,26
24,16,Mikhail Aleshin,Carlin,1:47.884,23
25,5,Ivan Lukashevich,Status Grand Prix,1:47.892,24
26,29,Patrick Reiterer,ATECHCRS GP,1:48.234,25
27,3,Pedro Nunes,ART Grand Prix,1:48.326,27
28,31,Vittorio Ghirelli,ATECHCRS GP,1:48.552,28
29,20,Michael Christensen,MW Arden,1:48.857,30
30,11,Renger van der Zande,RSC Mücke Motorsport,1:49.171,29
