Pos,No,Name,Team,Time,Grid
1,2,Esteban Gutiérrez,ART Grand Prix,1:58.653,1
2,29,Roberto Merhi,ATECHCRS GP,1:58.709,51
3,4,Robert Wickens,Status Grand Prix,1:58.916,2
4,20,Michael Christensen,MW Arden,1:58.986,72
5,28,Jean-Éric Vergne,Tech 1 Racing,1:59.041,3
6,17,Felipe Guimarães,Addax Team,1:59.076,93
7,10,Nigel Melker,RSC Mücke Motorsport,1:59.107,4
8,8,Rio Haryanto,Manor Racing,1:59.370,6
9,21,Miki Monrás,MW Arden,1:59.385,8
10,27,Stefano Coletti,Tech 1 Racing,1:59.457,13
11,1,Alexander Rossi,ART Grand Prix,1:59.558,14
12,26,Doru Sechelariu,Tech 1 Racing,1:59.589,10
13,12,Tobias Hegewald,RSC Mücke Motorsport,1:59.669,11
14,30,Oliver Oakes,ATECHCRS GP,1:59.817,12
15,23,Pål Varhaug,Jenzer Motorsport,1:59.855,15
16,18,Pablo Sánchez López,Addax Team,1:59.868,19
17,14,Josef Newgarden,Carlin,1:59.946,16
18,25,Nico Müller,Jenzer Motorsport,1:59.954,17
19,22,Leonardo Cordeiro,MW Arden,2:00.049,18
20,24,Simon Trummer,Jenzer Motorsport,2:00.059,20
21,19,Mirko Bortolotti,Addax Team,2:00.070,21
22,15,Dean Smith,Carlin,2:00.119,25
23,11,Renger van der Zande,RSC Mücke Motorsport,2:00.151,22
24,3,Pedro Nunes,ART Grand Prix,2:00.258,23
25,6,Daniel Morad,Status Grand Prix,2:00.413,28
26,7,James Jakes,Manor Racing,2:00.542,29
27,9,Adrian Quaife-Hobbs,Manor Racing,2:00.616,24
28,5,Ivan Lukashevich,Status Grand Prix,2:00.729,26
29,31,Vittorio Ghirelli,ATECHCRS GP,2:00.865,27
30,16,Lucas Foresti,Carlin,2:00.880,30
