Pos,Driver,IST R1,IST R2,CAT R1,CAT R2,VAL R1,VAL R2,SIL R1,SIL R2,NÜR R1,NÜR R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,Points
1,Valtteri Bottas,4,8,10,7,7,3,15,12,3,1,1,2,1,19,1,17,62
2,James Calado,17,13,2,21,8,1,6,5,4,6,25,3,2,2,2,14,55
3,Nigel Melker,1,3,6,2,Ret,19,Ret,8,10,3,8,4,3,Ret,9,Ret,38
4,Nico Müller,11,15,5,Ret,Ret,14,1,11,15,7,4,5,7,3,4,3,36
5,Adrian Quaife-Hobbs,24,16,11,23,1,8,4,15,5,Ret,3,10,4,Ret,Ret,6,36
6,Alexander Sims,8,1,Ret,Ret,6,2,2,3,12,2,DSQ,9,Ret,Ret,21,Ret,34
7,Rio Haryanto,26,10,20,11,19,22,10,4,1,10,9,1,12,9,3,2,31
8,Lewis Williamson,Ret,20,14,9,2,6,7,1,2,14,6,Ret,9,DNS,18,10,31
9,Mitch Evans,6,7,1,5,3,4,9,Ret,19,22,Ret,24,11,Ret,8,Ret,29
10,Andrea Caldarelli,2,5,4,4,,,,,,,,,,,,,20
11,Michael Christensen,7,2,18,12,Ret,Ret,Ret,13,26,12,2,13,15,4,12,11,19
12,Dean Smith,9,6,7,3,5,11,8,2,24,Ret,24,19,20,20,,,18
13,António Félix da Costa,5,4,12,17,Ret,20,19,9,28,Ret,11,6,Ret,11,7,1,16
14,Tom Dillmann,3,9,,,20,Ret,Ret,25,22,5,7,22,6,Ret,Ret,9,15
15,Aaro Vainio,15,Ret,3,20,Ret,Ret,11,18,7,13,5,7,13,Ret,22,8,12
16,Tamás Pál Kiss,16,18,8,1,16,13,Ret,20,8,4,10,20,17,14,Ret,12,11
17,Conor Daly,21,25,21,22,12,7,13,7,6,8,13,11,5,7,6,Ret,10
18,Simon Trummer,19,21,27,25,Ret,Ret,12,10,9,16,16,12,19,5,5,4,9
19,Gabriel Chaves,10,12,13,6,4,5,Ret,14,27,17,23,Ret,16,16,17,7,8
20,Richie Stanaway,,,,,,,,,,,,,8,1,10,19,7
21,Nick Yelloly,13,11,25,18,9,12,3,6,16,9,21,Ret,Ret,13,Ret,Ret,7
22,Luciano Bacheta,Ret,19,22,16,18,10,5,19,25,25,17,Ret,,,,,4
23,Callum MacLeod,,,,,,,,,29,21,26,18,Ret,Ret,11,5,3
24,Alex Fontana,,,,,,,,,,,,,14,6,,,1
25,Vittorio Ghirelli,25,Ret,9,8,13,9,14,22,13,11,22,Ret,,,Ret,18,0
26,Ivan Lukashevich,14,24,17,13,Ret,Ret,18,24,11,18,28,23,10,8,Ret,Ret,0
27,Maxim Zimin,23,17,Ret,19,Ret,21,DSQ,EX,20,15,19,8,Ret,15,Ret,16,0
28,Zoël Amberg,12,14,16,10,11,18,Ret,16,21,20,15,16,Ret,12,Ret,Ret,0
29,Marlon Stöckinger,Ret,23,26,Ret,14,16,16,Ret,Ret,DNS,12,17,Ret,10,19,13,0
30,Leonardo Cordeiro,Ret,22,23,15,10,17,17,23,17,19,20,15,21,18,13,Ret,0
31,Matias Laine,18,Ret,19,24,17,Ret,Ret,Ret,14,23,14,21,18,Ret,20,Ret,0
32,Pedro Nunes,22,26,15,26,Ret,15,Ret,17,23,Ret,18,14,,,,,0
33,Daniel Morad,,,24,14,15,Ret,DNS,DNS,,,,,,,,,0
34,Thomas Hylkema,,,,,Ret,Ret,20,21,18,24,27,Ret,22,21,14,Ret,0
35,Daniel Mancinelli,,,,,,,,,,,,,Ret,17,15,15,0
36,Christophe Hurni,,,,,,,,,,,,,,,16,20,0
37,Dominic Storey,20,Ret,Ret,27,,,,,,,,,,,,,0
