Team,No.,Driver[3],Rounds
LotusART,1,Pedro Nunes,1–6
LotusART,1,Richie Stanaway,7–8
LotusART,2,Valtteri Bottas,All
LotusART,3,James Calado,All
Status Grand Prix,4,Alexander Sims,All
Status Grand Prix,5,António Félix da Costa,All
Status Grand Prix,6,Ivan Lukashevich,All
Jenzer Motorsport,7,Nico Müller,All
Jenzer Motorsport,8,Maxim Zimin,All
Jenzer Motorsport,9,Vittorio Ghirelli,1–6
Jenzer Motorsport,9,Alex Fontana,7
Jenzer Motorsport,9,Christophe Hurni,8
MarussiaManor Racing,10,Adrian Quaife-Hobbs,All
MarussiaManor Racing,11,Rio Haryanto,All
MarussiaManor Racing,12,Matias Laine,All
Carlin,14,Conor Daly,All
Carlin,15,Tom Dillmann,1
Carlin,15,Daniel Morad,2–4
Carlin,15,Callum MacLeod,5–8
Carlin,16,Leonardo Cordeiro,All
Tech 1 Racing,17,Aaro Vainio,All
Tech 1 Racing,18,Andrea Caldarelli,1–2
Tech 1 Racing,18,Thomas Hylkema,3–8
Tech 1 Racing,19,Tamás Pál Kiss,All
AtechCRS GP,20,Marlon Stöckinger,All
AtechCRS GP,21,Nick Yelloly,All
AtechCRS GP,22,Zoël Amberg,All
Addax Team,23,Dominic Storey,1–2
Addax Team,23,Tom Dillmann,3–8
Addax Team,24,Gabriel Chaves,All
Addax Team,25,Dean Smith,1–7
Addax Team,25,Vittorio Ghirelli,8
MWArden,26,Mitch Evans,All
MWArden,27,Simon Trummer,All
MWArden,28,Lewis Williamson,All
RSCMücke Motorsport,29,Luciano Bacheta,1–6
RSCMücke Motorsport,29,Daniel Mancinelli,7–8
RSCMücke Motorsport,30,Michael Christensen,All
