Pos,Driver,CAT Race 1,CAT Race 2,MON Race 1,MON Race 2,VAL Race 1,VAL Race 2,SIL Race 1,SIL Race 2,HOC Race 1,HOC Race 2,HUN Race 1,HUN Race 2,SPA Race 1,SPA Race 2,MNZ Race 1,MNZ Race 2,Points
1,Mitch Evans,1,20,5,4,1,6,2,11,8,1,3,21,3,15,Ret,20,151.5
2,Daniel Abt,13,6,6,3,6,2,4,Ret,7,2,2,11,1,5,1,2,149.5
3,António Félix da Costa,14,7,7,2,Ret,8,1,6,Ret,Ret,1,1,2,2,15,5,132
4,Aaro Vainio,3,4,1,7,2,7,3,Ret,5,6,5,7,6,14,11,14,123
5,Matias Laine,5,3,21,16,5,3,9,18†,4,5,7,6,5,1,3,6,111
6,Conor Daly,6,1,23,Ret,11,Ret,5,2,2,3,6,9,7,3,4,11,106
7,Patric Niederhauser,4,5,Ret,15,8,1,10,3,1,9,16,2,11,6,5,Ret,101
8,Tio Ellinas,7,15,9,8,4,5,6,4,10,7,13,4,4,Ret,2,1,99
9,Kevin Ceccon,Ret,10,3,6,7,4,8,7,17,15,4,8,12,20,13,9,56
10,Marlon Stöckinger,2,19,8,1,19,11,16,Ret,16,11,9,13,14,16,7,4,55
11,David Fumanelli,9,17,4,5,3,16,DNS,DNS,12,10,8,Ret,20,Ret,6,13,47
12,Tamás Pál Kiss,12,Ret,2,9,9,10,11,14,6,4,14,10,17,10,9,15,38
13,Giovanni Venturini,,,,,,,13,16,3,8,11,Ret,9,9,8,3,31
14,Robert Vișoiu,8,2,14,10,Ret,12,12,5,DSQ,12,12,22,15,13,14,7,24
15,William Buller,23,9,12,Ret,10,9,Ret,1,9,Ret,23,12,13,8,10,12,20
16,Alex Brundle,10,8,10,Ret,16,14,7,10,DSQ,13,15,3,19,11,DSQ,10,19
17,Lewis Williamson,,,,,,,,,13,Ret,10,5,8,7,19,Ret,11
18,Alex Fontana,,,,,,,,,,,17,15,10,4,,,8.5
19,Alice Powell,Ret,11,11,22,18,Ret,17,Ret,19,Ret,19,20,18,12,12,8,1
20,Fabio Gamberini,,,,,,,23,8,,,,,,,,,1
21,Fabiano Machado,16,Ret,15,17,Ret,19,19,9,Ret,Ret,DNS,DNS,25,21,Ret,16,0
22,Robert Cregan,15,Ret,18,11,15,13,20,15,11,NC,21,14,21,DNS,20,17,0
23,Dmitry Suranovich,11,Ret,16,DSQ,Ret,15,22,20†,15,14,Ret,16,22,18,22†,DNS,0
24,Kotaro Sakurai,18,12,13,20,,,15,13,,,,,,,,,0
25,John Wartique,21,13,17,13,12,Ret,,,,,,,23,17,17,18,0
26,Vicky Piria,22,16,19,12,17,18,18,21†,14,Ret,20,19,16,19,16,Ret,0
27,Facu Regalia,,,,,,,14,12,,,18,18,,,,,0
28,Carmen Jordá,20,21,Ret,21,13,Ret,DNQ,DNQ,20,Ret,24†,Ret,26,23,21,19,0
29,Ethan Ringel,Ret,18,Ret,18,14,Ret,Ret,17,18,16,22,17,24,22,18,Ret,0
30,Antonio Spavone,17,Ret,20,14,Ret,17,21,18,,,,,,,,,0
