Pos,Team,CAT R1,CAT R2,MON R1,MON R2,VAL R1,VAL R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,Points
1,Lotus GP,13,6,6,3,6,2,4,Ret,7,2,2,11,1,5,1,2,378.5
1,Lotus GP,6,1,23†,Ret,11,Ret,5,2,2,3,6,9,7,3,4,11,378.5
1,Lotus GP,3,4,1,7,2,7,3,Ret,5,6,5,7,6,14,11,14,378.5
2,MWArden,1,20,5,4,1,6,2,11,8,1,3,21,3,15,Ret,20,309.5
2,MWArden,9,17,4,5,3,16,DNS,DNS,12,10,8,Ret,20,Ret,6,13,309.5
2,MWArden,5,3,21,16,5,3,9,18†,4,5,7,6,5,1,3,6,309.5
3,Carlin,10,8,10,Ret,16,14,7,10,DSQ,13,15,3,19,11,DSQ,10,171
3,Carlin,14,7,7,2,Ret,8,1,6,Ret,Ret,1,1,2,2,15,5,171
3,Carlin,23,9,12,Ret,10,9,Ret,1,9,Ret,23,12,13,8,10,12,171
4,Jenzer Motorsport,8,2,14,10,Ret,12,12,5,DSQ,12,12,22,15,13,14,7,133.5
4,Jenzer Motorsport,4,5,Ret,15,8,1,10,3,1,9,16,2,11,6,5,Ret,133.5
4,Jenzer Motorsport,19,14,22,19,,,14,12,,,17,15,10,4,,,133.5
5,MarussiaManor Racing,11,Ret,16,DSQ,Ret,15,22,20†,15,14,Ret,16,22,18,22†,DNS,99
5,MarussiaManor Racing,16,Ret,15,17,Ret,19,19,9,Ret,Ret,DNS,DNS,25,21,Ret,16,99
5,MarussiaManor Racing,7,15,9,8,4,5,6,4,10,7,13,4,4,Ret,2,1,99
6,Status Grand Prix,2,19,8,1,19,11,16,Ret,16,11,9,13,14,16,7,4,67
6,Status Grand Prix,18,12,13,20,,,15,13,13,Ret,10,5,8,7,19,Ret,67
6,Status Grand Prix,Ret,11,11,22,18,Ret,17,Ret,19,Ret,19,20,18,12,12,8,67
7,Ocean Racing Technology,Ret,10,Ret,21,13,Ret,DNQ,DNQ,20,Ret,24†,Ret,26,23,21,19,56
7,Ocean Racing Technology,20,21,3,6,7,4,8,7,17,15,4,8,12,20,13,9,56
7,Ocean Racing Technology,15,Ret,18,11,15,13,20,15,11,NC,21,14,21,DNS,20,17,56
8,AtechCRS GP,12,Ret,2,9,9,10,11,14,6,4,14,10,17,10,9,15,39
8,AtechCRS GP,21,13,17,13,12,Ret,23,8,,,18,18,23,17,17,18,39
8,AtechCRS GP,Ret,18,Ret,18,14,Ret,Ret,17,18,16,22,17,24,22,18,Ret,39
9,Trident Racing,22,16,19,12,17,18,18,21†,14,Ret,20,19,16,19,16,Ret,31
9,Trident Racing,17,Ret,20,14,Ret,17,21,19,,,,,,,,,31
9,Trident Racing,,,,,,,13,16,3,8,11,Ret,9,9,8,3,31
