Pos,Team,CAT R1,CAT R2,VAL R1,VAL R2,SIL R1,SIL R2,NÜR R1,NÜR R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,YMC R1,YMC R2,Points
1,ART Grand Prix,3,5,1,8,22,Ret,10,9,2,8,2,2,Ret,8,4,3,378
1,ART Grand Prix,24,14,2,7,3,5,1,Ret,6,4,3,3,3,4,15,16,378
1,ART Grand Prix,6,6,10,12,1,7,3,10,4,5,Ret,Ret,7,1,5,4,378
2,MW Arden,15,DSQ,5,3,13,13,6,5,5,2,Ret,13,9,9,DSQ,18,278
2,MW Arden,9,19,8,1,12,Ret,11,23,8,1,9,8,Ret,10,10,11,278
2,MW Arden,20,Ret,4,5,4,4,Ret,16,3,7,1,6,1,2,1,5,278
3,Koiranen GP,Ret,16,21,15,Ret,EX,13,13,14,11,13,20,10,12,8,19,207
3,Koiranen GP,5,1,7,2,11,8,14,11,1,9,20,22,16,13,6,2,207
3,Koiranen GP,8,2,3,6,2,9,20,15,7,3,4,5,6,5,12,12,207
4,Carlin,13,12,Ret,22,17,12,Ret,22,Ret,22,12,21,Ret,19,18,17,168
4,Carlin,4,Ret,12,9,6,2,5,3,15,13,6,4,2,Ret,3,6,168
4,Carlin,18,10,Ret,Ret,14,10,Ret,21,18,16,5,1,5,6,2,7,168
5,Marussia Manor Racing,1,4,6,4,5,6,2,6,11,10,8,Ret,Ret,11,7,1,129
5,Marussia Manor Racing,21,Ret,20,20,21,17,19,25,23,Ret,18,17,20,Ret,20,24,129
5,Marussia Manor Racing,Ret,15,9,10,10,Ret,9,7,12,20,10,7,Ret,EX,9,8,129
6,Bamboo Engineering,11,7,19,17,25,14,4,4,24,Ret,14,10,4,3,,,75
6,Bamboo Engineering,14,Ret,11,Ret,24,15,7,1,17,Ret,7,Ret,12,7,19,20,75
6,Bamboo Engineering,22,18,Ret,21,23,19,DSQ,24,22,21,19,19,18,17,Ret,23,75
7,Jenzer Motorsport,16,13,Ret,19,20,18,18,19,19,14,16,Ret,17,15,22,25,51
7,Jenzer Motorsport,2,3,13,Ret,15,11,12,8,25,15,Ret,9,8,Ret,Ret,15,51
7,Jenzer Motorsport,10,9,14,11,7,3,Ret,17,10,19,21,12,Ret,Ret,13,10,51
8,Trident,12,8,15,13,8,1,16,14,9,6,11,11,11,Ret,11,9,32
8,Trident,7,17,Ret,Ret,Ret,20,17,20,16,18,15,14,15,18,16,13,32
8,Trident,17,Ret,16,14,19,Ret,15,12,Ret,Ret,Ret,23,14,14,14,14,32
9,Status Grand Prix,19,Ret,18,16,18,21,Ret,18,13,12,17,15,13,Ret,23,26,18
9,Status Grand Prix,23,11,Ret,Ret,9,Ret,8,2,20,17,Ret,16,19,20,17,21,18
9,Status Grand Prix,Ret,Ret,17,18,16,16,Ret,Ret,21,DSQ,Ret,18,Ret,16,21,22,18
