Pos,Driver,CAT R1,CAT R2,RBR R1,RBR R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SOC R1,SOC R2,YMC R1,YMC R2,Points
1,Alex Lynn,1,18,1,20,2,6,2,3,4,4,8,1,6,2,7,5,5,2,207
2,Dean Stoneman,7,1,Ret,10,10,18,5,4,9,8,1,9,5,1,1,2,1,Ret,163
3,Marvin Kirchhöfer,5,5,5,DNS,3,4,1,Ret,11,9,DNS,17,3,3,2,3,2,11,161
4,Jimmy Eriksson,2,6,3,2,1,Ret,7,15,10,16,Ret,19,1,8,4,16,10,5,134
5,Emil Bernstorff,Ret,8,2,1,4,3,3,Ret,5,7,9,6,4,4,Ret,8,4,3,134
6,Nick Yelloly,9,7,7,5,5,2,4,5,2,11,3,5,10,5,9,6,8,1,127
7,Dino Zamparelli,6,3,15,8,8,7,6,2,8,2,2,7,2,9,18,13,3,4,126
8,Richie Stanaway,3,4,4,3,7,1,13,7,1,6,7,2,9,Ret,12,Ret,12,7,125
9,Jann Mardenborough,14,14,11,Ret,9,15,8,1,7,3,4,4,11,Ret,6,4,13,Ret,77
10,Patric Niederhauser,10,9,10,6,13,Ret,12,6,6,1,Ret,Ret,13,19,8,1,7,DSQ,62
11,Alex Fontana,11,19,Ret,17,15,Ret,11,13,14,13,6,3,Ret,10,3,Ret,6,15,43
12,Mathéo Tuscher,8,2,6,Ret,14,8,18,11,22,15,Ret,16,8,Ret,Ret,11,Ret,10,29
13,Robert Vișoiu,13,11,Ret,14,20,13,10,9,3,5,Ret,20,19,14,Ret,10,15,8,23
14,Patrick Kujala,4,Ret,9,7,12,Ret,25,16,13,10,Ret,21,7,Ret,13,9,Ret,14,22
15,Kevin Ceccon,,,,,,,,,,,11,11,12,6,5,Ret,9,6,20
16,Riccardo Agostini,,,Ret,11,6,5,9,8,18,19,10,12,15,12,11,Ret,18,13,18
17,Pål Varhaug,12,Ret,13,9,11,Ret,19,Ret,21,14,5,8,Ret,11,10,Ret,14,9,12
18,Roman de Beer,Ret,DSQ,12,4,17,16,21,17,15,12,,,,,,,,,8
19,Luís Sá Silva,16,10,8,22,18,9,17,10,17,18,16,23,14,7,17,15,Ret,17,6
20,Luca Ghiotto,,,,,,,,,,,18,14,21,13,,,,,4
21,Alfonso Celis Jr.,18,Ret,Ret,19,16,10,Ret,23,16,22,12,15,16,Ret,16,7,16,Ret,2
22,Nelson Mason,17,Ret,14,16,25,12,16,14,19,20,15,10,Ret,18,15,DNS,17,18,0
23,Santiago Urrutia,21,13,16,12,Ret,14,22,18,12,Ret,13,18,Ret,15,14,12,11,12,0
24,Adderly Fong,Ret,12,Ret,15,21,11,15,12,,,,,,,,,,,0
25,Ryan Cullen,15,16,17,13,19,Ret,20,19,24,21,14,13,Ret,16,,,19,Ret,0
26,Mitchell Gilbert,,,,,DNS,DNS,14,Ret,20,24,,,18,20,20,14,,,0
27,Beitske Visser,19,15,,,,,,,,,,,,,,,,,0
28,Kang Ling,,,,,,,,,,,,,,,,,20,16,0
29,Carmen Jordá,Ret,Ret,20,21,24,17,Ret,22,25,25,17,Ret,20,21,,,,,0
30,John Bryant-Meisner,,,,,,,,,,,20,22,17,17,,,,,0
31,Victor Carbone,Ret,17,18,18,23,Ret,23,20,,,,,,,,,,,0
32,Sebastian Balthasar,,,,,22,Ret,24,21,Ret,17,19,DNS,Ret,DNS,,,,,0
33,Nikolay Martsenko,,,19,DNS,,,,,,,,,,,19,Ret,,,0
34,Ivan Taranov,22,20,,,,,,,,,,,,,,,,,0
35,Denis Nagulin,20,Ret,,,,,,,,,,,,,,,,,0
36,Christopher Höher,,,,,,,,,23,23,,,,,,,,,0
,Konstantin Tereshchenko,,,,,,,,,,,DNS,DNS,,,,,,,0
