Pos,Driver,CAT R1,CAT R2,RBR R1,RBR R2,SIL R1,SIL R2,HUN R1,HUN R2,HOC R1,HOC R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SEP R1,SEP R2,YMC R1,YMC R2,Points
1,Charles Leclerc,1,9,1,Ret,2,3,6,3,5,3,1,6,4,Ret,3,5,Ret,9,202
2,Alexander Albon,6,1,2,2,1,14,7,1,4,Ret,9,10,6,2,1,8,Ret,Ret,177
3,Antonio Fuoco,4,3,5,3,3,1,2,10,1,18†,4,2,8,3,8,Ret,16,17,157
4,Jake Dennis,7,4,Ret,Ret,12,9,3,7,12,6,2,5,1,4,6,1,2,4,149
5,Jack Aitken,20,19,9,5,13,6,9,6,6,2,5,1,2,5,2,3,3,2,148
6,Nyck de Vries,9,5,3,4,5,8,20,13,2,8,3,8,7,1,13,6,1,11,133
7,Nirei Fukuzumi,3,13,7,Ret,11,7,4,4,Ret,11,Ret,15,5,Ret,7,2,5,3,91
8,Jake Hughes,2,8,8,6,Ret,17,23,19,8,1,Ret,Ret,3,10,Ret,12,7,1,90
9,Matt Parry,12,20,6,7,4,16,1,5,3,7,Ret,Ret,9,17,9,4,Ret,12,82
10,Arjun Maini,,,,,8,19,8,2,7,5,Ret,16,14,6,4,7,14,14,50
11,Ralph Boschung,10,10,4,1,6,12,5,22,15,Ret,,,18,9,,,,,48
12,Santino Ferrucci,15,11,15,10,18,4,15,11,9,4,7,3,19†,11,Ret,Ret,9,15,36
13,Steijn Schothorst,Ret,22,20,12,14,5,22,20,Ret,17,6,7,13,13,5,10,6,7,36
14,Kevin Jörg,5,7,13,14,15,11,10,9,14,10,11,Ret,NC,12,12,11,4,8,26
15,Álex Palou,19,14,16,11,10,2,11,14,16,19†,13,11,11,7,14,19,10,5,22
16,Óscar Tunjo,8,2,14,13,,,,,,,15,DNS,,,,,,,18
17,Matevos Isaakyan,11,6,Ret,Ret,21,18,12,8,Ret,13,8,4,Ret,Ret,15,14,Ret,16,17
18,Sandy Stuvik,18,15,10,8,7,10,18,18,Ret,12,Ret,17†,12,15,10,20,15,18,9
19,Konstantin Tereshchenko,17,21,18,Ret,20,13,16,17,Ret,15,17,Ret,17,14,17,17,8,6,8
20,Artur Janosz,16,12,11,9,9,15,14,12,11,Ret,12,9,16,8,Ret,16,Ret,19,3
21,Tatiana Calderón,14,18,17,Ret,17,20,21,21,10,9,14,Ret,10,16,Ret,15,Ret,Ret,2
22,Giuliano Alesi,22,16,DNS,DNS,16,Ret,19,16,Ret,14,10,12,DNS,19,16,13,11,10,1
23,Alessio Lorandi,,,,,,,,,,,,,,,11,9,12,20,0
24,Akash Nandy,21,23,12,Ret,19,21,17,Ret,13,16,16,13,15,18,Ret,18,13,13,0
25,Richard Gonda,13,17,19,Ret,,,13,15,,,,,,,,,,,0
26,Niko Kari,,,,,,,,,,,Ret,14,,,,,,,0
27,Mahaveer Raghunathan,23,24,,,,,,,,,,,,,,,,,0
