Pos,Driver,CAT R1,CAT R2,LEC R1,LEC R2,RBR R1,RBR R2,SIL R1,SIL R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SOC R1,SOC R2,YMC R1,YMC R2,Points
1,Anthoine Hubert,2,2,1,7,17,9,1,4,3,3,3,2,2,DSQ,3,4,3,Ret,214
2,Nikita Mazepin,1,10,2,5,13,7,2,7,1,12,5,1,5,3,2,Ret,5,1,198
3,Callum Ilott,3,7,8,1,1,6,3,5,6,2,6,3,3,DSQ,13,18,4,4,167
4,Leonardo Pulcini,4,9,4,8,2,3,6,6,2,4,15,Ret,14,7,1,8,1,12,156
5,David Beckmann,6,17,18,10,8,Ret,14,Ret,4,7,1,Ret,1,5,5,1,2,Ret,137
6,Pedro Piquet,9,Ret,6,2,4,2,7,1,12,9,4,5,7,1,15,11,12,Ret,106
7,Giuliano Alesi,7,1,3,6,6,Ret,8,2,17,16,9,6,6,2,14,17,6,10,100
8,Jake Hughes,13,3,10,17,5,1,Ret,8,16,14,7,4,9,4,7,16,7,2,85
9,Ryan Tveter,17,14,11,9,7,Ret,4,3,5,6,2,8,11,16,18,9,11,5,69
10,Dorian Boccolacci,5,5,DSQ,14,10,5,5,9,8,1,,,,,,,,,58
11,Alessio Lorandi,11,16,5,4,3,4,10,12,,,,,,,,,,,42
12,Juan Manuel Correa,8,4,9,12,19,13,Ret,15,7,5,11,10,17,Ret,9,5,8,6,42
13,Joey Mawson,16,15,7,3,Ret,10,9,13,Ret,18,8,17,12,12,8,2,20,9,38
14,Simo Laaksonen,15,8,13,11,9,15,13,16,14,11,12,13,4,8,6,14,9,3,36
15,Richard Verschoor,,,,,,,,,,,17,7,8,9,4,3,14,7,30
16,Tatiana Calderón,Ret,Ret,17,16,12,12,Ret,10,11,8,10,9,15,6,10,7,10,8,11
17,Niko Kari,Ret,6,DSQ,Ret,11,8,11,Ret,Ret,Ret,14,12,10,10,,,,,6
18,Gabriel Aubry,12,Ret,15,Ret,16,Ret,Ret,Ret,10,13,13,11,Ret,Ret,11,6,15,14,5
19,Diego Menchaca,10,12,14,Ret,14,16,12,11,9,10,19,16,Ret,14,Ret,15,18,16,3
20,Jannes Fittje,,,,,,,,,13,17,20,15,16,11,12,10,13,Ret,0
21,Devlin DeFrancesco,,,,,18,11,15,14,WD,WD,18,Ret,13,15,17,12,17,11,0
22,Julien Falchero,14,11,16,15,15,14,Ret,Ret,15,15,16,14,Ret,13,,,,,0
23,Christian Lundgaard,,,12,13,,,,,,,,,,,,,,,0
24,Sacha Fenestraz,,,,,,,,,,,,,,,16,13,16,15,0
25,Will Palmer,18,13,,,,,,,,,,,,,,,,,0
26,Jehan Daruvala,,,,,,,,,,,,,,,,,19,13,0
