Pos.,No.,Driver,Team,Time,Gap,Grid
1,2,Anthoine Hubert,ART Grand Prix,1:31.409,,1
2,3,Nikita Mazepin,ART Grand Prix,1:31.484,+0.075,2
3,18,Leonardo Pulcini,Campos Racing,1:31.515,+0.106,3
4,4,Jake Hughes,ART Grand Prix,1:31.652,+0.243,4
5,1,Callum Ilott,ART Grand Prix,1:31.697,+0.288,5
6,7,Ryan Tveter,Trident,1:31.832,+0.423,6
7,8,David Beckmann,Trident,1:31.911,+0.502,7
8,22,Dorian Boccolacci,MP Motorsport,1:31.964,+0.555,8
9,16,Joey Mawson,Arden International,1:32.046,+0.637,9
10,10,Juan Manuel Correa,Jenzer Motorsport,1:32.162,+0.753,10
11,6,Giuliano Alesi,Trident,1:32.164,+0.755,11
12,20,Diego Menchaca,Campos Racing,1:32.172,+0.763,12
13,5,Pedro Piquet,Trident,1:32.212,+0.803,13
14,19,Simo Laaksonen,Campos Racing,1:32.265,+0.856,14
15,9,Tatiana Calderón,Jenzer Motorsport,1:32.266,+0.857,15
16,14,Gabriel Aubry,Arden International,1:32.768,+1.359,16
17,11,Jannes Fittje,Jenzer Motorsport,1:32.944,+1.535,17
18,15,Julien Falchero,Arden International,1:33.000,+1.591,18
19,24,Niko Kari,MP Motorsport,1:35.070,+3.661,19
