Pos,Driver,CAT R1,CAT R2,CAT R3,LEC R1,LEC R2,LEC R3,RBR R1,RBR R2,RBR R3,HUN R1,HUN R2,HUN R3,SPA R1,SPA R2,SPA R3,ZAN R1,ZAN R2,ZAN R3,SOC R1,SOC R2,SOC R3,Points
1,Dennis Hauger,8,25,1,9,2,2,1,3,2,5,5,1,14,9,8,7,27,1,2,C,24,205
2,Jack Doohan,17,8,2,7,5,1,3,7,27,9,13,3,12,1,1,6,18,4,15,C,1,179
3,Clément Novalak,2,4,6,5,6,5,Ret,13,Ret,4,8,5,7,5,5,11,2,2,4,C,3,147
4,Frederik Vesti,7,3,7,15,10,6,7,2,1,Ret,16,7,4,6,6,9,3,8,8,C,2,138
5,Victor Martins,9,2,5,2,3,4,5,26,24,15,25,27,5,7,2,8,1,10,3,C,8,131
6,Alexander Smolyar,1,Ret,11,1,7,8,14,25,4,6,4,6,10,8,3,24,14,3,22,C,23,107
7,Logan Sargeant,4,Ret,9,4,12,Ret,15,Ret,8,3,9,10,8,3,7,2,10,6,1,C,4,102
8,Olli Caldwell,6,1,4,10,4,Ret,2,9,3,2,29,8,16,15,11,10,6,14,17,C,10,93
9,Caio Collet,3,5,8,13,Ret,3,17,17,7,20,12,16,9,4,4,5,4,5,5,C,Ret,93
10,Arthur Leclerc,28,24,13,12,1,13,Ret,6,Ret,13,11,2,13,10,10,1,7,9,7,C,7,79
11,David Schumacher,11,Ret,12,16,11,27,12,1,11,8,6,4,11,2,9,14,5,30,14,C,15,55
12,Ayumu Iwasa,14,7,15,8,9,7,DSQ,14,6,1,10,12,15,11,13,3,Ret,11,10,C,9,52
13,Jak Crawford,13,9,18,11,14,10,8,Ret,26,26,20,15,2,12,12,4,8,7,11,C,5,45
14,Matteo Nannini,10,26,3,22,13,20,23,12,5,10,1,25,19,Ret,26,17,9,28,16,C,17,44
15,Lorenzo Colombo,23,22,29,14,20,19,25,19,13,7,7,11,1,14,14,13,Ret,17,6,C,Ret,32
16,Roman Staněk,16,12,10,26,19,15,11,4,12,11,3,23,3,13,15,27,15,13,13,C,26,29
17,Enzo Fittipaldi,12,Ret,19,21,17,11,4,8,15,12,2,9,,,,,,,,,,25
18,Jonny Edgar,5,6,16,28,23,14,6,5,10,Ret,26,Ret,21,17,19,19,25,15,18,C,14,23
19,Calan Williams,18,11,21,3,8,12,16,15,9,17,24,17,24,Ret,18,16,22,18,19,C,12,15
20,Johnathan Hoggard,,,,Ret,26,18,18,10,25,22,22,18,6,24,16,Ret,19,20,12,C,6,14
21,Juan Manuel Correa,15,10,14,6,16,9,10,24,14,14,14,14,22,18,21,28,17,27,9,C,11,11
22,Kaylen Frederick,22,17,30,20,22,17,9,Ret,DNS,,,,,,,20,11,21,23,C,13,2
23,Amaury Cordeel,26,16,25,27,24,25,22,11,18,19,Ret,26,17,Ret,Ret,23,Ret,12,21,C,16,0
24,Ido Cohen,29,20,22,24,Ret,24,Ret,20,16,28,27,Ret,Ret,20,20,12,26,16,27,C,Ret,0
25,Oliver Rasmussen,Ret,19,17,17,21,22,26,16,22,18,28,21,20,21,17,18,12,26,Ret,C,25,0
26,Tijmen van der Helm,21,15,20,29,18,16,13,Ret,20,21,15,19,23,16,22,21,21,29,Ret,C,18,0
27,Jake Hughes,,,,,,,,,,16,17,13,,,,,,,,,,0
28,Reshad de Gerus,20,13,23,19,25,21,20,23,17,24,18,20,,,,,,,,,,0
29,Rafael Villagómez,19,18,28,25,27,23,21,18,19,23,21,24,27,23,Ret,22,13,25,20,C,Ret,0
30,Pierre-Louis Chovet,24,14,24,18,25,28,,,,,,,,,,,,,,,,0
31,Filip Ugran,25,21,27,23,28,26,24,22,23,25,19,22,28,19,25,15,24,19,25,C,19,0
32,László Tóth,27,23,26,,,,19,21,21,27,23,Ret,25,22,23,25,16,24,Ret,C,22,0
33,Hunter Yeany,,,,,,,,,,,,,18,25,NC,Ret,23,22,,,,0
34,Zdeněk Chovanec,,,,,,,,,,,,,26,26,24,26,20,23,26,C,20,0
35,Ayrton Simmons,,,,,,,,,,,,,,,,,,,24,C,21,0
