Pos.,No.,Driver,Team,Time/Gap,Grid
1,4,Jack Doohan,Trident,2:21.953,1
2,17,Victor Martins,MP Motorsport,+0.704,2
3,8,Aleksandr Smolyar,ART Grand Prix,+0.769,3
4,18,Caio Collet,MP Motorsport,+0.783,4
5,29,Logan Sargeant,Charouz Racing System,+0.822,5
6,5,Clément Novalak,Trident,+0.858,6
7,7,Frederik Vesti,ART Grand Prix,+1.315,7
8,6,David Schumacher,Trident,+1.800,8
9,27,Johnathan Hoggard,Jenzer Motorsport,+1.832,9
10,12,Roman Staněk,Hitech Grand Prix,+1.863,10
11,10,Jak Crawford,Hitech Grand Prix,+2.011,11
12,21,Lorenzo Colombo,Campos Racing,+2.109,12
13,2,Arthur Leclerc,Prema Racing,+2.301,13
14,1,Dennis Hauger,Prema Racing,+2.335,14
15,14,Matteo Nannini,HWA Racelab,+2.435,15
16,16,Rafael Villagómez,HWA Racelab,+2.750,16
17,11,Ayumu Iwasa,Hitech Grand Prix,+2.895,17
18,3,Olli Caldwell,Prema Racing,+3.072,18
19,26,Calan Williams,Jenzer Motorsport,+3.124,19
20,25,Jonny Edgar,Carlin Buzz Racing,+3.185,20
21,19,Tijmen van der Helm,MP Motorsport,+3.219,21
22,22,Amaury Cordeel,Campos Racing,+3.433,22
23,15,Oliver Rasmussen,HWA Racelab,+3.660,23
24,23,Ido Cohen,Carlin Buzz Racing,+3.943,24
25,20,László Tóth,Campos Racing,+4.008,25
26,30,Hunter Yeany,Charouz Racing System,+4.116,26
27,9,Juan Manuel Correa,ART Grand Prix,+4.272,27
28,31,Zdeněk Chovanec,Charouz Racing System,+4.762,28
-,28,Filip Ugran,Jenzer Motorsport,No Time Set,PL
