Pos,Driver,BHR SR,BHR FR,IMO FR,IMO SR,CAT SR,CAT FR,SIL FR,SIL SR,RBR SR,RBR FR,HUN FR,HUN SR,SPA SR,SPA FR,ZAN FR,ZAN SR,MNZ SR,MNZ FR,Points
1,Victor Martins,Ret,1,2,9,Ret,1,2,7,8,2,6,10,21,Ret,7,2,10,4,139
2,Zane Maloney,4,Ret,6,Ret,21,13,7,11,Ret,5,10,2,Ret,1,17,1,4,1,134
3,Oliver Bearman,2,6,12,17,12,5,9,3,16,3,5,3,1,3,11,25,2,2,132
4,Isack Hadjar,1,25,5,3,10,3,1,5,10,1,4,18,9,14,6,5,27,9,123
5,Roman Staněk,24,22,4,1,8,2,6,Ret,5,11,9,12,2,2,10,4,12,6,117
6,Arthur Leclerc,5,2,13,4,4,16,8,1,4,4,27,8,5,11,12,12,8,5,114
7,Jak Crawford,27,7,3,2,2,6,10,6,1,22,20,5,11,17,9,6,7,3,109
8,Caio Collet,7,Ret,24†,11,3,7,11,4,2,27,1,9,10,6,1,7,3,20,88
9,Franco Colapinto,25,5,1,22,Ret,8,13,Ret,3,6,2,15,15,12,13,3,1,15,76
10,Alexander Smolyar,3,23,8,14,6,4,,,9,7,15,1,3,9,14,10,25,27†,76
11,Zak O'Sullivan,6,18,Ret,6,18,27†,14,2,12,17,18,4,20,13,3,23,Ret,11,54
12,Jonny Edgar,13,11,,,,,15,8,7,21,13,24,4,5,4,9,5,8,46
13,Juan Manuel Correa,9,4,,,5,10,21,Ret,Ret,10,12,6,17,15,2,24,13,24,39
14,Kush Maini,15,16,20,5,17,25,4,22,19,25†,3,7,13,Ret,18,11,11,13,31
15,Grégoire Saucy,Ret,3,Ret,23†,11,11,18,25,11,14,7,11,12,Ret,5,Ret,6,28†,30
16,David Vidales,10,8,11,8,1,Ret,12,9,18,12,Ret,13,7,8,21,Ret,DNS,Ret,29
17,Kaylen Frederick,8,10,16,7,7,9,5,12,6,23,19,20,Ret,16,15,13,Ret,25,27
18,William Alatalo,11,9,15,10,15,12,19,16,Ret,8,16,16,6,7,30,Ret,14,7,24
19,Oliver Goethe,,,,,,,,,,,8,28,Ret,4,,,,,15
20,Reece Ushijima,12,17,Ret,18,9,19,3,10,17,13,11,14,14,10,22,19,19,10,13
21,Sebastián Montoya,,,,,,,,,,,,,,,8,8,,,7
22,Oliver Rasmussen,,,7,Ret,16,14,,,,,,,,,,,,,4
23,Brad Benavides,21,20,14,Ret,25,Ret,NC,20,20,20,Ret,22,8,18,26,Ret,18,14,3
24,Ido Cohen,14,15,23,13,23,22,17,15,14,9,Ret,17,24†,Ret,29,16,15,12,2
25,Rafael Villagómez,17,12,9,20,14,Ret,26,Ret,Ret,15,17,21,23,19,28,Ret,26,Ret,2
26,Pepe Martí,28†,13,Ret,15,13,20,20,23,13,Ret,14,29,Ret,22,19,14,9,26,2
27,Francesco Pizzi,19,Ret,10,Ret,24,17,24,14,15,24,21,27,19,21,16,18,17,16,1
28,David Schumacher,,,18,12,,,,,,,,,,,20,15,,,0
29,Federico Malvestiti,,,Ret,21,19,21,25,13,21,26,25,25,18,26,24,20,16,18,0
30,Niko Kari,26,14,,,,,,,,,,,,,,,,,0
31,Lirim Zendeli,,,,,20,15,,,,,,,,,,,,,0
32,Nazim Azman,16,Ret,21,19,Ret,18,22,Ret,24,16,23,26,16,20,25,21,21,21,0
33,Hunter Yeany,23,21,17,16,27,26,16,19,22,WD,,,,,,,24,17,0
34,Enzo Trulli,20,26,22,24,22,24,27,17,25,18,24,19,DSQ,24,23,17,20,22,0
35,Ayrton Simmons,18,19,,,,,,,,,,,,,,,,,0
36,Filip Ugran,,,,,,,23,18,,,,,,,,,,,0
37,László Tóth,22,24,19,25,26,23,Ret,21,23,19,26,Ret,22,25,27,22,22,19,0
38,Christian Mansell,,,,,,,,,,,22,23,Ret,23,,,,,0
39,Alessandro Famularo,,,,,,,,,,,,,,,,,23,23,0
40,Zdeněk Chovanec,,,,,,,Ret,24,26,Ret,,,,,,,,,0
