Pos,Team,BHR SR,BHR FR,IMO FR,IMO SR,CAT SR,CAT FR,SIL FR,SIL SR,RBR SR,RBR FR,HUN FR,HUN SR,SPA SR,SPA FR,ZAN FR,ZAN SR,MNZ SR,MNZ FR,Points
1,Prema Racing,2,2,3,2,2,5,8,1,1,3,5,3,1,3,9,6,2,2,355
1,Prema Racing,5,6,12,4,4,6,9,3,4,4,20,5,5,11,11,12,7,3,355
1,Prema Racing,27,7,13,17,12,16,10,6,16,22,27,8,11,17,12,25,8,5,355
2,Trident,4,11,4,1,8,2,6,8,5,5,9,2,2,1,4,1,4,1,301
2,Trident,13,22,6,Ret,16,13,7,11,7,11,10,12,4,2,10,4,5,6,301
2,Trident,24,Ret,7,Ret,21,14,15,Ret,Ret,21,13,24,Ret,5,17,9,12,8,301
3,ART Grand Prix,9,1,2,9,5,1,2,7,8,2,6,6,12,15,2,2,6,4,208
3,ART Grand Prix,Ret,3,Ret,23†,11,10,18,25,11,10,7,10,17,Ret,5,24,10,24,208
3,ART Grand Prix,Ret,4,,,Ret,11,21,Ret,Ret,14,12,11,21,Ret,7,Ret,13,28,208
4,MP Motorsport,3,16,8,5,3,4,4,4,2,7,1,1,3,6,1,7,3,15,195
4,MP Motorsport,7,23,20,11,6,7,11,18,9,25†,3,7,10,9,14,10,11,20,195
4,MP Motorsport,15,Ret,24†,14,17,25,23,22,19,27,15,9,13,Ret,18,11,25,27,195
5,Hitech Grand Prix,1,10,5,3,7,3,1,5,6,1,4,18,9,14,6,5,21,9,150
5,Hitech Grand Prix,8,25,16,7,10,9,5,12,10,16,19,20,16,16,15,13,27,21,150
5,Hitech Grand Prix,16,Ret,21,19,Ret,18,22,Ret,24,23,23,26,Ret,20,25,21,Ret,25,150
6,Van Amersfoort Racing,12,5,1,18,9,8,3,10,3,6,2,14,14,10,13,3,1,10,91
6,Van Amersfoort Racing,17,12,9,20,14,19,13,Ret,17,13,11,15,15,12,22,19,19,14,91
6,Van Amersfoort Racing,25,17,Ret,22,Ret,Ret,26,Ret,Ret,15,17,21,23,19,28,Ret,26,Ret,91
7,Carlin,6,18,14,6,18,24,14,2,12,17,18,4,8,13,3,17,18,11,57
7,Carlin,20,20,22,24,22,27†,27,17,20,18,24,19,20,18,23,23,20,13,57
7,Carlin,21,26,Ret,Ret,25,Ret,NC,20,25,20,Ret,22,DSQ,24,26,Ret,Ret,22,57
8,Campos Racing,10,8,11,8,1,20,12,9,13,12,8,13,7,4,8,8,9,17,53
8,Campos Racing,23,13,17,15,13,26,16,19,18,Ret,14,28,Ret,8,19,14,24,26,53
8,Campos Racing,28†,21,Ret,16,27,Ret,20,23,22,WD,Ret,29,Ret,22,21,Ret,DNS,Ret,53
9,Jenzer Motorsport,11,9,15,10,15,12,17,13,14,8,16,16,6,7,24,16,14,7,26
9,Jenzer Motorsport,14,14,23,13,19,21,19,15,21,9,25,17,18,26,29,20,15,12,26
9,Jenzer Motorsport,26,15,Ret,21,23,22,25,16,Ret,26,Ret,25,24†,Ret,30,Ret,16,18,26
10,Charouz Racing System,18,19,10,12,20,15,24,14,15,19,21,23,19,21,16,15,17,16,1
10,Charouz Racing System,19,24,18,25,24,17,Ret,21,23,24,22,27,22,23,20,18,22,19,1
10,Charouz Racing System,22,Ret,19,Ret,26,23,Ret,24,26,Ret,26,Ret,Ret,25,27,22,23,23,1
