Pos.,No.,Driver,Team,Time,Grid
1,3,Zane Maloney,Trident,1:41.180,1
2,2,Roman Staněk,Trident,1:41.180,2
3,5,Jak Crawford,Prema Racing,1:41.180,3
4,8,Grégoire Saucy,ART Grand Prix,1:41.180,4
5,6,Oliver Bearman,Prema Racing,1:41.180,5
6,7,Victor Martins,ART Grand Prix,1:41.180,6
7,18,Isack Hadjar,Hitech Grand Prix,1:41.180,7
8,26,Zak O'Sullivan,Carlin,1:41.180,8
9,10,Caio Collet,MP Motorsport,1:41.180,9
10,12,Kush Maini,MP Motorsport,1:41.180,10
11,23,Ido Cohen,Jenzer Motorsport,1:41.180,11
12,29,Franco Colapinto,Van Amersfoort Racing,1:41.180,12
13,17,Kaylen Frederick,Hitech Grand Prix,1:41.180,13
14,1,Oliver Rasmussen,Trident,1:41.180,14
15,11,Alexander Smolyar,MP Motorsport,1:41.180,15
16,21,Hunter Yeany,Campos Racing,1:41.180,16
17,19,Nazim Azman,Hitech Grand Prix,1:41.180,17
18,25,William Alatalo,Jenzer Motorsport,1:41.180,18
19,16,Francesco Pizzi,Charouz Racing System,1:41.180,19
20,30,Rafael Villagómez,Van Amersfoort Racing,1:41.180,20
21,4,Arthur Leclerc,Prema Racing,1:41.180,21
22,31,Reece Ushijima,Van Amersfoort Racing,1:41.180,22
23,27,Brad Benavides,Carlin,1:41.180,23
24,22,Pepe Martí,Campos Racing,1:41.180,24
25,24,Federico Malvestiti,Jenzer Motorsport,1:41.180,25
26,14,László Tóth,Charouz Racing System,1:41.180,26
27,20,David Vidales,Campos Racing,1:41.180,27
28,28,Enzo Trulli,Carlin,1:41.180,28
29,15,David Schumacher,Charouz Racing System,1:41.180,29
