Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,11,Alexander Smolyar,MP Motorsport,1:32.740,12,1
2,3,Zane Maloney,Trident,+0.126,11,2
3,6,Oliver Bearman,Prema Racing,+0.132,10,3
4,4,Arthur Leclerc,Prema Racing,+0.172,9,4
5,8,Grégoire Saucy,ART Grand Prix,+0.201,8,5
6,12,Kush Maini,MP Motorsport,+0.204,7,6
7,5,Jak Crawford,Prema Racing,+0.269,6,7
8,7,Victor Martins,ART Grand Prix,+0.300,5,8
9,10,Caio Collet,MP Motorsport,+0.314,4,9
10,18,Isack Hadjar,Hitech Grand Prix,+0.335,3,10
11,29,Franco Colapinto,Van Amersfoort Racing,+0.346,2,11
12,21,Oliver Goethe,Campos Racing,+0.366,1,12
13,22,Pepe Martí,Campos Racing,+0.384,13,13
14,2,Roman Staněk,Trident,+0.453,14,14
15,1,Jonny Edgar,Trident,+0.464,15,15
16,20,David Vidales,Campos Racing,+0.477,16,16
17,30,Rafael Villagómez,Van Amersfoort Racing,+0.531,17,17
18,9,Juan Manuel Correa,ART Grand Prix,+0.674,18,18
19,31,Reece Ushijima,Van Amersfoort Racing,+0.776,19,19
20,25,William Alatalo,Jenzer Motorsport,+0.970,20,20
21,17,Kaylen Frederick,Hitech Grand Prix,+1.008,21,21
22,26,Zak O'Sullivan,Carlin,+1.019,22,22
23,23,Ido Cohen,Jenzer Motorsport,+1.023,23,23
24,15,Christian Mansell,Charouz Racing System,+1.301,24,24
25,27,Brad Benavides,Carlin,+1.375,25,25
26,16,Francesco Pizzi,Charouz Racing System,+1.466,26,26
27,19,Nazim Azman,Hitech Grand Prix,+1.489,27,27
28,28,Enzo Trulli,Carlin,+1.651,28,28
29,14,László Tóth,Charouz Racing System,+2.221,29,29
30,24,Federico Malvestiti,Jenzer Motorsport,+2.940,30,30
