Pos,Driver,BHR SR,BHR FR,ALB FR,ALB SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,MNZ SR,MNZ FR,Points
1,Gabriel Bortoleto,19,1,6,1,6,5,4,4,10,2,2,6,2,7,Ret,11,2,5,164
2,Zak O'Sullivan,12,11,1,5,13,7,1,8,4,1,16,18,22,1,15,12,11,2,119
3,Paul Aron,5,12,3,6,10,3,5,5,1,25,12,4,4,5,3,8,Ret,7,112
4,Franco Colapinto,2,10,DSQ,Ret,4,6,6,2,13,4,1,8,7,3,5,10,1,Ret,110
5,Pepe Martí,1,6,13,7,1,9,8,1,6,9,10,3,20,6,Ret,9,Ret,Ret,105
6,Dino Beganovic,4,3,5,13,12,2,Ret,3,8,5,13,14,10,2,22,16,13,9,96
7,Gabriele Minì,17,8,4,3,11,1,20,14,2,Ret,5,7,1,16,Ret,DNS,6,19,92
8,Oliver Goethe,6,2,Ret,22,17,13,11,16,26,11,17,1,5,4,Ret,Ret,5,Ret,75
9,Caio Collet,3,14,21,16,9,Ret,17,12,3,3,4,15,23,19,1,5,19,4,73
10,Taylor Barnard,14,16,12,9,5,8,9,9,27,12,30,21,11,14,2,1,4,3,72
11,Leonardo Fornaroli,8,27,7,4,2,24,3,NC,15,10,7,2,13,9,9,14,8,15,69
12,Christian Mansell,13,13,9,10,20,17,Ret,10,14,7,3,5,6,11,19,2,7,8,60
13,Jonny Edgar,9,23,DSQ,11,Ret,14,12,15,5,6,28,NC,8,8,4,19,Ret,1,55
14,Grégoire Saucy,7,4,8,2,3,10,23,27,20,27,21,9,9,15,10,20,22,Ret,54
15,Luke Browning,Ret,5,17,8,8,4,2,Ret,11,22,14,Ret,16,12,8,23,DSQ,18,41
16,Sebastián Montoya,10,9,2,Ret,7,DSQ,26,7,9,20,8,10,Ret,24,Ret,6,12,Ret,37
17,Mari Boya,15,Ret,DSQ,Ret,Ret,18,7,6,12,24,29,12,21,10,16,13,3,6,29
18,Nikita Bedrin,16,17,15,23†,15,12,10,11,25,13,18,17,3,23,11,3,15,Ret,24
19,Hugh Barter,11,26,19,15,25,26,19,13,22,8,6,13,25,13,6,22,,,14
20,Alex García,27,29†,Ret,20,26,21,22,22,Ret,23,11,26,27†,26,18,4,17,21,12
21,Kaylen Frederick,28,7,10,Ret,24,25,14,17,7,26,22,19,12,Ret,13,15,20,Ret,11
22,Nikola Tsolov,26,15,11,21,14,11,13,19,16,16,15,11,Ret,25,7,17,9,12,6
23,Sophia Flörsch,22,20,16,18,23,23,21,20,18,DSQ,19,23,15,18,12,7,16,13,6
24,Ido Cohen,18,18,Ret,Ret,19,Ret,Ret,26,17,Ret,9,24,Ret,22,Ret,Ret,21,Ret,2
25,Rafael Villagómez,Ret,19,14,19,16,16,27,25,Ret,15,20,16,17,17,23,21,10,10,2
26,Francesco Simonazzi,,,,,,,,,,,,,,,14,24,18,11,0
27,Tommy Smith,23,28†,Ret,12,21,15,18,23,21,18,26,25,24,29,24,18,Ret,20,0
28,Oliver Gray,21,21,20,14,22,19,15,18,Ret,14,25,20,14,27,20,Ret,Ret,16,0
29,Joshua Dufek,,,,,,,,,,,,,,,,,14,14,0
30,Hunter Yeany,20,22,22,17,27,20,16,Ret,19,21,,,,,,,,,0
31,Roberto Faria,24,25,18,Ret,Ret,27,25,24,24,19,27,Ret,19,20,17,Ret,NC,22†,0
32,Michael Shin,,,,,,,,,,,,,26,28,21,25,Ret,17,0
33,McKenzy Cresswell,,,,,,,,,23,17,23,22,,,,,,,0
34,Piotr Wiśnicki,25,24,23,Ret,18,22,24,21,,,,,,,,,,,0
35,Max Esterson,,,,,,,,,,,24,Ret,18,21,,,,,0
