Pos,Driver,BHR SR,BHR FR,ALB FR,ALB SR,IMO SR,IMO FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,HUN FR,HUN SR,SPA SR,SPA FR,MNZ FR,MNZ SR,Points
1,Leonardo Fornaroli,3,7,9,2,11,3,9,5,7,3,12,9,10,7,7,3,9,3,8,2,153
2,Gabriele Minì,7,6,6,3,6,6,11,1,Ret,21,6,2,6,2,14,11,2,13,9,DSQ,130
3,Luke Browning,15,1,28,4,26†,4,8,3,12,5,11,1,24,8,8,12,12,6,6,20,128
4,Arvid Lindblad,1,8,2,11,8,7,Ret,4,9,1,Ret,7,1,1,15,28†,15,Ret,12,16,113
5,Christian Mansell,14,2,10,10,12,20,Ret,2,11,2,3,4,12,13,5,4,16,21,22,3,112
6,Dino Beganovic,29,13,13,1,4,5,7,6,8,8,15,3,11,19,3,9,1,11,4,9,109
7,Oliver Goethe,9,10,5,9,1,2,10,10,3,4,7,5,Ret,6,11,8,6,19,,,94
8,Sami Meguetounif,10,4,17,12,Ret,1,22†,Ret,Ret,15,10,20,8,12,10,25,27,5,5,1,84
9,Tim Tramnitz,5,3,12,15,2,11,2,8,10,11,8,15,25,14,4,20,4,9,1,6,81
10,Noel León,22,12,Ret,25,3,19,4,23,6,9,9,23,2,10,12,2,3,4,Ret,7,79
11,Nikola Tsolov,4,11,20,19,13,26,1,27,13,6,1,6,5,15,29,1,,,19,17,75
12,Callum Voisin,17,21,18,21,Ret,29,12,13,Ret,16,14,25,4,3,6,6,7,1,25,22†,67
13,Laurens van Hoepen,2,15,3,13,7,13,3,Ret,5,29†,5,8,9,11,9,DSQ,10,12,13,8,58
14,Alex Dunne,12,9,7,16,14,16,Ret,16,2,7,4,10,22,Ret,20,16,23,10,3,4,50
15,Mari Boya,8,29,4,7,Ret,9,6,7,1,14,22,18,16,23,18,10,28,Ret,7,Ret,45
16,Santiago Ramos,21,5,24,24,10,8,15,14,21,10,24,13,19,16,28,5,8,8,2,18,44
17,Sebastián Montoya,18,17,8,6,25,10,18,15,Ret,12,Ret,Ret,7,Ret,19,19,5,2,11,21,40
18,Martinius Stenshorne,11,14,1,26,22,14,16,26,4,27,2,12,,,13,13,18,Ret,10,5,38
19,Nikita Bedrin,13,20,21,8,9,30,Ret,24,Ret,30†,13,Ret,13,9,1,7,13,20,Ret,13,25
20,Tommy Smith,28,22,27,Ret,24,27,13,12,18,25,21,22,21,4,25,24,25,16,23,15,12
21,Max Esterson,6,24,26,14,18,21,14,17,22,23,18,17,Ret,18,16,15,Ret,7,Ret,Ret,11
22,Charlie Wurz,19,16,11,5,23,24,19,Ret,16,13,20,27,Ret,Ret,17,Ret,26,23,24†,14,10
23,Piotr Wiśnicki,25,25,23,23,20,23,21,25,24,24,23,19,14,5,24,21,21,24,Ret,Ret,10
24,Tasanapol Inthraphuvasak,16,19,Ret,Ret,Ret,28,17,18,25,26,27,26,20,20,2,14,29,15,21,11,9
25,Matías Zagazeta,Ret,18,15,17,17,17,,,19,19,17,14,3,22,Ret,27†,17,17,14,Ret,8
26,Joseph Loake,27,23,14,Ret,21,25,5,9,15,22,19,24,15,24,26,26,11,25,15,19,8
27,Kacper Sztuka,20,28,16,18,5,15,Ret,11,23,28,Ret,16,Ret,17,27,18,20,18,18,12,6
28,Joshua Dufek,24,27,22,22,16,22,Ret,20,17,17,25,Ret,23,Ret,22,22,24,14,Ret,10,1
29,Sophia Flörsch,23,30†,19,Ret,15,12,Ret,19,20,18,26,11,Ret,Ret,23,23,19,Ret,16,Ret,0
30,Cian Shields,26,26,25,20,19,18,Ret,21,14,20,16,21,17,Ret,21,17,22,22,20,Ret,0
31,Tuukka Taponen,,,,,,,,,,,,,,,,,14,Ret,,,0
32,Noah Strømsted,,,,,,,,,,,,,,,,,,,17,23†,0
33,James Wharton,,,,,,,,,,,,,18,21,,,,,,,0
34,James Hedley,,,,,,,20,22,,,,,,,,,,,,,0
