Pos,Team,BHR SR,BHR FR,ALB FR,ALB SR,IMO SR,IMO FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,HUN FR,HUN SR,SPA SR,SPA FR,MNZ FR,MNZ SR,Points
1,Prema Racing,1,6,2,1,4,5,7,1,8,1,6,2,1,1,3,9,1,11,4,9,352
1,Prema Racing,7,8,6,3,6,6,11,4,9,8,15,3,6,2,14,11,2,13,9,16,352
1,Prema Racing,29,13,13,11,8,7,Ret,6,Ret,21,Ret,7,11,19,15,28,15,Ret,12,DSQ,352
2,Trident,3,4,9,2,10,1,9,5,7,3,10,9,8,7,7,3,8,3,2,1,281
2,Trident,10,5,17,12,11,3,15,14,21,10,12,13,10,12,10,5,9,5,5,2,281
2,Trident,21,7,24,24,Ret,8,22,Ret,Ret,15,24,20,19,16,28,25,27,8,8,18,281
3,ART Grand Prix,2,2,3,10,7,13,1,2,5,2,1,4,5,11,5,1,10,12,13,3,245
3,ART Grand Prix,4,11,10,13,12,20,3,27,11,6,3,6,9,13,9,4,14,21,19,8,245
3,ART Grand Prix,14,15,20,19,13,26,Ret,Ret,13,29,5,8,12,15,29,DSQ,16,Ret,22,17,245
4,Campos Racing,8,10,4,6,1,2,6,7,1,4,7,5,7,6,11,8,5,2,7,21,179
4,Campos Racing,9,17,5,7,25,9,10,10,3,12,22,18,16,23,18,10,6,19,11,23,179
4,Campos Racing,18,29,8,9,Ret,10,18,15,Ret,14,Ret,Ret,Ret,Ret,19,19,28,Ret,17,Ret,179
5,Hitech Pulse-Eight,11,1,1,4,19,4,8,3,4,5,2,1,17,8,8,12,12,6,6,5,166
5,Hitech Pulse-Eight,15,14,25,20,22,14,16,21,12,20,11,12,18,21,13,13,18,22,10,20,166
5,Hitech Pulse-Eight,26,26,28,26,26,18,Ret,26,14,27,16,21,24,Ret,21,17,22,Ret,20,Ret,166
6,MP Motorsport,5,3,7,15,2,11,2,8,2,7,4,10,22,14,4,16,4,9,1,4,137
6,MP Motorsport,12,9,12,16,5,15,Ret,11,10,11,8,15,25,17,20,18,20,10,3,6,137
6,MP Motorsport,20,28,16,18,14,16,Ret,16,23,28,Ret,16,Ret,Ret,27,20,23,18,18,12,137
7,Van Amersfoort Racing,22,12,19,25,3,12,4,12,6,9,9,11,2,4,12,2,3,4,16,7,91
7,Van Amersfoort Racing,23,22,27,Ret,15,19,13,19,18,18,21,22,21,10,23,23,19,16,23,15,91
7,Van Amersfoort Racing,28,30,Ret,Ret,24,27,Ret,23,20,25,26,23,Ret,Ret,25,24,25,Ret,Ret,Ret,91
8,Rodin Motorsport,17,21,14,21,20,23,5,9,15,16,14,19,4,3,6,6,7,1,15,19,85
8,Rodin Motorsport,25,23,18,23,21,25,12,13,24,22,19,24,14,5,24,21,11,24,25,22,85
8,Rodin Motorsport,27,25,23,Ret,Ret,29,21,25,Ret,24,23,25,15,24,26,26,21,25,Ret,Ret,85
9,PHM AIX Racing (1–2) AIX Racing (3–10),13,19,21,8,9,22,17,18,17,17,13,26,13,9,1,7,13,14,21,10,35
9,PHM AIX Racing (1–2) AIX Racing (3–10),16,20,22,22,16,28,Ret,20,25,26,25,Ret,20,20,2,14,24,15,Ret,11,35
9,PHM AIX Racing (1–2) AIX Racing (3–10),24,27,Ret,Ret,Ret,30,Ret,24,Ret,30,27,Ret,23,Ret,22,22,29,20,Ret,13,35
10,Jenzer Motorsport,6,16,11,5,17,17,14,17,16,13,17,14,3,18,16,15,17,7,14,14,29
10,Jenzer Motorsport,19,18,15,14,18,21,19,22,19,19,18,17,Ret,22,17,27,26,17,24,Ret,29
10,Jenzer Motorsport,Ret,24,26,17,23,24,20,Ret,22,23,20,27,Ret,Ret,Ret,Ret,Ret,23,Ret,Ret,29
