Pos,Team,ALB SR,ALB FR,BHR FR,BHR SR,IMO SR,IMO FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,SPA FR,SPA SR,HUN SR,HUN FR,MNZ FR,MNZ SR,Points
1,Campos Racing,4,7,1,5,3,5,8,1,3,5,3,3,1,1,4,C,1,2,5,1,314
1,Campos Racing,8,17,15,8,19,9,23,3,7,11,4,15,3,13,6,C,7,6,12,2,314
1,Campos Racing,13,Ret,18,16,Ret,17,24,12,9,22,5,DSQ,29,20,14,C,15,10,22,9,314
2,Trident,Ret,1,9,1,6,2,6,18,14,1,9,5,8,16,1,C,3,1,8,5,303
2,Trident,Ret,2,10,6,11,3,7,Ret,Ret,8,20,6,9,22,3,C,8,4,25,6,303
2,Trident,Ret,6,12,11,23,16,Ret,Ret,Ret,13,Ret,7,13,28,5,C,17,12,Ret,Ret,303
3,MP Motorsport,11,5,6,3,1,6,4,5,6,3,2,2,11,9,8,C,13,9,6,8,177
3,MP Motorsport,NC,23,7,7,2,7,5,10,12,7,6,12,12,14,10,C,25,13,14,10,177
3,MP Motorsport,Ret,25,19,9,10,27,22,NC,Ret,17,22,19,20,18,12,C,Ret,25,18,11,177
4,ART Grand Prix,14,12,3,4,7,4,2,6,4,4,1,14,4,6,18,C,5,3,3,15,152
4,ART Grand Prix,Ret,20,13,12,17,10,3,7,8,16,12,20,16,7,20,C,11,8,11,16,152
4,ART Grand Prix,Ret,21,16,28,22,13,21,11,Ret,19,Ret,DSQ,18,10,23,C,19,27†,16,23,152
5,Van Amersfoort Racing,1,3,Ret,14,20,1,16,16,1,2,11,10,15,2,21,C,9,5,10,17,138
5,Van Amersfoort Racing,7,16,Ret,15,25,26,Ret,20,2,6,13,21,17,8,22,C,12,19,24,18,138
5,Van Amersfoort Racing,21,19,Ret,19,27†,Ret,Ret,22†,5,Ret,Ret,27,19,11,29,C,24,24,Ret,Ret,138
6,Rodin Motorsport,3,9,4,2,4,8,9,2,13,10,8,8,10,4,13,C,14,11,1,7,128
6,Rodin Motorsport,9,14,14,13,5,12,10,4,16,12,15,16,21,19,17,C,16,14,7,12,128
6,Rodin Motorsport,18,Ret,20,23,26,18,11,9,Ret,Ret,Ret,23,22,Ret,25,C,18,15,21,Ret,128
7,Prema Racing,10,10,11,17,8,14,13,14,10,18,10,4,5,3,2,C,2,7,9,3,92
7,Prema Racing,12,13,22,21,9,19,20,Ret,17,20,16,11,7,12,9,C,6,17,19,14,92
7,Prema Racing,19,26,Ret,27,16,28†,Ret,Ret,22,Ret,23,Ret,Ret,21,15,C,Ret,Ret,27,Ret,92
8,Hitech TGR,2,8,5,18,13,11,1,8,20,9,7,1,2,17,7,C,10,21,2,20,90
8,Hitech TGR,16,11,21,22,14,15,14,17,23,21,14,13,24,23,11,C,22,26,13,21,90
8,Hitech TGR,22,18,Ret,26,24,20,18,19,Ret,25,21,17,27,25,26,C,23,Ret,15,Ret,90
9,AIX Racing,6,4,2,24,12,23,12,21,15,23,19,9,14,26,19,C,4,22,17,4,52
9,AIX Racing,20,15,23,25,18,24,19,Ret,21,24,Ret,25,26,27,24,C,21,23,20,19,52
9,AIX Racing,Ret,27,Ret,Ret,Ret,Ret,Ret,WD,24†,Ret,DSQ,26,28,Ret,27,C,Ret,Ret,26,Ret,52
10,DAMS Lucas Oil,5,22,8,10,15,21,15,13,11,14,17,18,6,5,16,C,20,16,4,13,30
10,DAMS Lucas Oil,15,24,17,20,21,22,17,15,18,15,18,22,23,15,28,C,26,18,23,22,30
10,DAMS Lucas Oil,17,Ret,Ret,29,Ret,25,Ret,Ret,19,26†,Ret,24,25,24,Ret,C,Ret,20,28,Ret,30
