Pos,Driver,SIL R1,SIL R2,SIL R3,MNZ R1,MNZ R2,MNZ R3,PAU R1,PAU R2,PAU R3,HUN R1,HUN R2,HUN R3,NOR R1,NOR R2,NOR R3,SPA R1,SPA R2,SPA R3,ZAN R1,ZAN R2,ZAN R3,NÜR R1,NÜR R2,NÜR R3,RBR R1,RBR R2,RBR R3,HOC R1,HOC R2,HOC R3,Points
1,Lando Norris,1,9,3,1,2,2,2,2,Ret,8,14,3,11,1,3,1,Ret,1,1,3,1,1,2,1,4,2,17,2,11,4,441
2,Joel Eriksson,4,1,2,4,1,4,1,Ret,5,10,2,1,4,10,7,9,2,2,2,12,12,10,9,8,2,1,1,1,4,2,388
3,Maximilian Günther,3,4,4,7,4,3,3,1,1,1,6,6,1,3,2,3,3,Ret,3,7,3,13,12,7,3,7,5,10,2,1,383
4,Callum Ilott,Ret,2,1,9,7,1,Ret,3,2,5,1,2,Ret,9,9,14,6,4,5,1,19,4,3,4,1,4,Ret,4,1,5,344
5,Jake Hughes,13,3,13,10,13,Ret,Ret,6,Ret,2,4,7,Ret,2,5,Ret,4,Ret,8,2,5,2,1,2,11,13,16,12,5,8,207
6,Jehan Daruvala,10,8,6,2,8,9,10,9,11,3,8,9,6,4,1,4,5,5,9,16,14,6,10,5,13,5,6,5,8,20,191
7,Ferdinand Habsburg,12,13,12,3,5,5,8,8,6,15,10,12,Ret,15,8,8,1,6,4,6,2,5,6,Ret,6,9,4,3,20,Ret,187
8,Guanyu Zhou,7,7,Ret,5,6,10,Ret,Ret,10,7,3,4,3,8,12,12,17,3,16,8,4,9,14,Ret,9,19,14,13,3,3,149
9,Ralf Aron,Ret,16,10,8,9,8,5,5,3,Ret,12,13,9,5,4,11,8,7,Ret,10,8,14,5,3,12,6,18,8,10,19,123
10,Nikita Mazepin,Ret,15,7,11,10,11,4,7,Ret,12,11,10,10,18,10,2,7,11,11,11,10,Ret,11,16,Ret,3,2,6,6,7,108
11,Harrison Newey,6,10,9,17,Ret,15,6,4,4,6,15,18,5,7,15,7,13,9,10,4,7,12,8,6,19,12,11,14,14,17,106
12,Mick Schumacher,8,6,18,6,3,6,9,11,12,9,9,11,7,12,Ret,6,9,8,6,9,11,8,15,11,7,10,8,11,18,18,94
13,Joey Mawson,5,11,8,14,16,Ret,Ret,16,Ret,4,7,8,Ret,13,11,5,10,10,14,14,9,3,7,20,18,8,7,15,15,9,83
14,Pedro Piquet,9,18,11,16,Ret,7,7,13,8,17,13,14,2,6,Ret,10,16,12,7,Ret,6,Ret,17,13,10,15,15,7,7,6,80
15,Tadasuke Makino,11,19,15,12,14,13,13,12,7,13,17,17,8,14,Ret,,,,Ret,15,16,7,4,19,5,17,3,9,9,11,57
16,David Beckmann,14,17,14,Ret,15,14,11,14,Ret,11,5,5,12,11,6,Ret,15,16,Ret,5,13,Ret,16,15,8,11,9,17,13,10,45
17,Jake Dennis,2,5,5,Ret,Ret,Ret,Ret,10,9,,,,,,,,,,,,,,,,,,,,,,41
18,Max Defourny,,,,,,,,,,,,,,,,,,,,,,11,18,9,,,,,,,2
19,Marino Sato,16,12,17,13,11,12,14,Ret,13,16,16,15,13,16,13,15,11,14,15,18,17,16,Ret,12,14,16,10,18,19,16,1
20,Sacha Fenestraz,,,,,,,,,,,,,,,,,,,,,,15,13,10,,,,,,,1
21,Keyvan Andres Soori,15,14,16,15,12,Ret,12,15,Ret,14,18,16,14,17,14,13,12,13,12,13,15,17,19,14,15,14,Ret,20,Ret,14,0
22,Ameya Vaidyanathan,,,,,,,,,,,,,,,,16,14,15,13,17,18,19,21,18,,,,,,,0
23,Petru Florescu,,,,,,,,,,,,,,,,,,,,,,18,20,17,17,18,13,,,,0
,Jüri Vips,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,12,12,0
,Devlin DeFrancesco,,,,,,,,,,,,,,,,,,,,,,,,,16,20,12,19,17,14,0
,Felipe Drugovich,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,15,0
