Team,No.,Driver,Rounds
Motopark,1,Joel Eriksson,All
Motopark,10,Petru Florescu,8–9
Motopark,4,Jüri Vips,10
Motopark,33,Marino Sato,All
Motopark,47,Keyvan Andres Soori,All
Motopark,55,David Beckmann,4–10
Prema Powerteam,3,Maximilian Günther,All
Prema Powerteam,8,Guanyu Zhou,All
Prema Powerteam,25,Mick Schumacher,All
Prema Powerteam,53,Callum Ilott,All
Van Amersfoort Racing,5,Pedro Piquet,All
Van Amersfoort Racing,17,Harrison Newey,All
Van Amersfoort Racing,55,David Beckmann,1–3
Van Amersfoort Racing,15,Max Defourny,8
Van Amersfoort Racing,16,Felipe Drugovich,10
Van Amersfoort Racing,96,Joey Mawson,All
Hitech Grand Prix,7,Ralf Aron,All
Hitech Grand Prix,11,Tadasuke Makino,"1–5, 7–10"
Hitech Grand Prix,34,Jake Hughes,All
Hitech Grand Prix,99,Nikita Mazepin,All
Carlin,21,Jake Dennis,1–3
Carlin,21,Ameya Vaidyanathan,6–8
Carlin,21,Devlin DeFrancesco,9–10
Carlin,27,Jehan Daruvala,All
Carlin,31,Lando Norris,All
Carlin,37,Sacha Fenestraz,8
Carlin,62,Ferdinand Habsburg,All
